,hash,dtype-<class 'bool'>,dtype-<class 'numpy.uint64'>
0,3d0c041ca162d69cc5bbb4d9d051eca7933f12bd,4.121918727867026e-05,0.0026444411269039847
1,ce140e8d5c28f1f057db1102cf78263e48f86d61,4.135428598877325e-05,0.0026488062503631227
2,c18ab2c3975c8fa8b59724fe6855c528d72fef8c,4.1573948246494675e-05,0.0026468585019756574
3,3d2205dfd1d28fb8106e60223cf7207a3c05dbab,4.105625746997521e-05,0.002648273373779375
4,c3fd79150bc183e8852f1330ea6e8cb4ca7ce7bc,4.117900003082978e-05,0.0026452874990354758
5,71555c48be7f07833bd540dacb50deb8069b551f,4.1160831428028305e-05,0.0026482786233827937
6,5324067c702a41e901354a01a5f0d05ff49b6cb4,4.153958492130392e-05,0.0026467681273061316
7,20cb312563b2e7c0b180db8dffbcd71d7dfd0bee,5.6844062378837e-05,0.0027022693345012767
8,45ee22fa2fdd2bace756ed62685a346da91c4cb2,4.161476323188805e-05,0.0026444743743923027
9,798aee26bdb9dcc0e806ca9271f0f98297188dec,4.098975002026899e-05,0.0026446049960213713
10,1c50f244d4d1eba4f3f63e93a05a2b2f938685a4,4.126201323365336e-05,0.0026464808724995237
11,fca7a15f30776ebce9e6814eb927e837f567a518,4.146247713396482e-05,0.0026454771250428166
12,26311ed7bf80e02c827189e80084602d72e4f284,4.121203965041786e-05,0.0026465648770681582
13,b5e01bcb668da0413170a886c258e00d2540e752,4.156523376794254e-05,0.0026492061260796618
14,ab30683fe1277a7fd471be63975a02ed8d766f94,4.1386509426201716e-05,0.0026455215011083055
15,3c89e2f913406f55b6e998017c1149e3ba383bcc,5.049523571747418e-05,0.003218507500908648
16,590f07121dc55e6d9d9ce514887c9bbc253fb266,4.38324630680575e-05,0.0027810745013994165
17,872372bd56ccb5fe98faae8be7d14e4a8c69e037,6.153126406807745e-05,0.0027701571270881686
18,70a84c3192b4f231925e8e36f50d6a26bff3b46d,4.197856742053289e-05,0.002733755001827376
19,9d416356baf4a653b2c647a921ae24ba7d39e8df,4.2556674709640836e-05,0.0027651293748931494
20,09dd75e9e2139bc9742e6009b7babe41d4c002df,6.135175156692464e-05,0.0035229529991435506
21,85d64e375f53f6028519d3aaad0b421934dcbe24,4.120047323277775e-05,0.002652076494996436
22,09e04dcbe3d0c836437b2d4745b353b256ec6265,4.502825623220371e-05,0.002705734128539916
23,cdd7ab252988ff4254705e0a89874edeb5cea8eb,4.300887744989717e-05,0.0026482473767828196
24,06da877ceae914a875bd1a55cd8e271332358803,4.339367531581348e-05,0.0026569565015961416
25,8529dfaaec65248420faffe095bac03c23881735,4.450459788737741e-05,0.0027183137499378063
26,171a3e5811e43643788c20075be9ba52efb83b81,4.355227687179048e-05,0.002664500123501057
27,5bf9ab98edd254dee1162d6f1863053e040cf828,5.52911634515159e-05,0.0033124888335199403
28,9776a73cee9eaaff6af40e971fa2bb7f8f1086c5,4.368641767435779e-05,0.0026469814984011464
29,37a1ad069a800f5ef98286f25fb3fb632375168d,4.315371346740943e-05,0.0026369192528363783
30,1cb2230bb1bfb9b2544dab798dffeedce64ad39f,4.310886447727903e-05,0.0026417958761157934
31,044f5131450f38cdfbab63d6999b60e7e3bbabe5,4.3154996063552914e-05,0.0026398956288176123
32,dc089026b4ad0d2d9ea992c7f1b9b5e716dd82cd,4.318318678997457e-05,0.002641027749632485
33,53adf81bc503d749b13160a27e49160c5bbe48d7,4.318793870926477e-05,0.0026405448734294623
34,49e00940a82f9590d774539cd188b634c29fc39f,4.308651381571641e-05,0.0026430232464917935
35,7b9b41a4c7dbd7b719d62f343f57f841f5809693,4.4275996026182286e-05,0.0027060498723585624
36,ae88e02a48c4744afd22c63be388870037f3c84c,4.3359201190904136e-05,0.0026418597517476883
37,0aeab48b9e914d1dc7041b7e3f3b7e575ffcbbed,4.3180223773590346e-05,0.0026352531276643276
38,c18b3f59b5f5752ab038224fd3bdf2dadba55ecf,4.3238306719999004e-05,0.002641035502165323
39,a5e5e51187d4476841503ce816924ea99936dba0,4.324871253246736e-05,0.002642102750542108
40,b69cf68a24cffea0a884a102da1797755de8f022,4.314581274664385e-05,0.002646367249326431
41,ee3e17a7c3e3efdeafe907b394de56aed01a70e0,4.4141713155533715e-05,0.0027569457506615436
42,c71ce0e6dbd9ec67b3ac7fb5ac3eb609f8a56829,4.5096773673145965e-05,0.00295581812497403
