,hash,rng-PCG64,rng-MT19937,rng-Philox,rng-SFC64,rng-numpy
0,9776a73cee9eaaff6af40e971fa2bb7f8f1086c5,0.000684916999307461,0.0012656529361265711,0.0016420742135129069,,0.0012662811877817148
1,37a1ad069a800f5ef98286f25fb3fb632375168d,0.0006848827664119502,0.0012636257488338742,0.001652821071080065,,0.0012898145632789237
2,1cb2230bb1bfb9b2544dab798dffeedce64ad39f,0.000591528499225045,0.0012631031877390342,0.001656922428602619,0.00040365999971982093,0.001262926438357681
3,044f5131450f38cdfbab63d6999b60e7e3bbabe5,0.0005921477944973636,0.0012631626250367844,0.001646068215320286,0.00040344967972487215,0.0012646568120544543
4,dc089026b4ad0d2d9ea992c7f1b9b5e716dd82cd,0.000592245117706411,0.0012666485617955914,0.0016452632137640777,0.0004033589799655601,0.0012658627492783125
5,53adf81bc503d749b13160a27e49160c5bbe48d7,0.0005955027060254532,0.0012712546249531442,0.0016484657140348905,0.00040623886553266156,0.0012688868137047393
6,49e00940a82f9590d774539cd188b634c29fc39f,0.0005940008525024442,0.0012681001880991971,0.001653152929585693,0.00040600230735995306,0.0012668706876866054
7,7b9b41a4c7dbd7b719d62f343f57f841f5809693,0.000595735470757491,0.001269292439246783,0.0016458697147235008,0.0005732068797806277,0.0012788477488356875
8,ae88e02a48c4744afd22c63be388870037f3c84c,0.0005956667352139073,0.0012687846246990375,0.0016523315009960371,0.0005630301596829668,0.0012692256877926411
9,0aeab48b9e914d1dc7041b7e3f3b7e575ffcbbed,0.0005958243821035413,0.0012761933121510083,0.001655795070941427,0.0004073107887122135,0.0012696460617007688
10,c18b3f59b5f5752ab038224fd3bdf2dadba55ecf,0.0006083895303377443,0.0012699595627054805,0.0016551875721363884,0.0004409341725896901,0.001269770938961301
11,a5e5e51187d4476841503ce816924ea99936dba0,0.0006078840297585189,0.0012672566872424795,0.0016466272146707134,0.0004067663268450325,0.001267489687052148
12,b69cf68a24cffea0a884a102da1797755de8f022,0.0006078491766375543,0.0012672081247728784,0.0016508417133341675,0.0004057050400297158,0.0012688500000876957
13,ee3e17a7c3e3efdeafe907b394de56aed01a70e0,0.0008523571668774821,0.0018368280010084466,0.002062632600427605,0.0005861694371560588,0.0018384798325617644
14,c71ce0e6dbd9ec67b3ac7fb5ac3eb609f8a56829,0.0005970634999411071,0.001614660583679021,0.0018950413999846206,0.0005309267498887493,0.0016639283749100287
15,0ce156413feb21a4f2a8eae3b1cd954d04240edd,0.0005824270831201122,0.001257792499018251,0.0016435702515688413,0.0003947099445482578,0.0012534795623651007
16,7e3fd81c039b0e22715c4e6eb63439bdf5a620bf,0.0007680432728110727,0.0013629963132189005,0.001764681083538259,0.0004193645573440545,0.0014492572143873467
