,hash,"stride-1,dtype-f","stride-1,dtype-d","stride-2,dtype-f","stride-2,dtype-d","stride-4,dtype-f","stride-4,dtype-d"
0,03164d2d819f9b38e1c684d6d9e128f11867dc3c,9.431274269114841e-05,0.0003479469412316879,9.642797522246838e-05,0.000350656205167373,0.0001007096074959811,0.00035427358622352285
1,60df9b1eb6375e3decf12ba7506404c46af0469a,9.447169405492868e-05,0.00034845204403003056,9.675046259706671e-05,0.0003496380367626746,0.00010099493536270327,0.00035277165782948336
2,772c80b1ce1db7e30497fcf555ac9af56b0d7fce,9.349354288794778e-05,0.00034973438208301864,9.414360604502938e-05,0.00035020421879986924,9.497949345545335e-05,0.0003527547853688399
3,66d357ae3aedcd324a1c607e037adc65d3ae1c02,9.360468353737485e-05,0.0003497808240354061,9.453007104721937e-05,0.0003518571301052968,9.484422308477488e-05,0.00035341577604413037
4,cec39effb1739ae0a7690e56d58d3e9432569d5f,9.353179907934232e-05,0.0003477818487832944,9.40190204842524e-05,0.000350382582594951,9.519254619424992e-05,0.00035192687064409254
5,8ae543cb13769a0afa6e176898824db7fd992d27,9.329382922839034e-05,0.0003541212063282728,9.402271190827543e-05,0.0003500201428929965,9.478178637271578e-05,0.00035305130295455457
6,c890b10a8ade5df19f97b02a2b10a75f9f6075e9,9.404042397033085e-05,0.00034873646994431815,9.419866414232686e-05,0.00035232255856196086,9.560317055068234e-05,0.00035264461847214865
7,c9a83043c0669fd17306843eb21abd236b675537,9.396563876758922e-05,0.00034878947772085664,9.436404163187202e-05,0.00035003695326546827,9.549539959566159e-05,0.00035459814785883344
8,4d87d909bab7a7dd4bb570444cf35d98d551668f,9.341011331839995e-05,0.00034866415274639924,9.42932568829168e-05,0.00034996128330628076,9.475542147728531e-05,0.00035439487546682356
9,a280f5e5d725de732a906b67172114b263ac3bfa,9.356900964948264e-05,0.0003480696585029364,9.432148019021208e-05,0.00035143949401875336,9.502615271644159e-05,0.0003518375878532727
10,c303c9b77afbc7fe6f4049683c3ccaabdebe7be3,9.356736713512378e-05,0.0003473358228802681,9.40272118896246e-05,0.00035029291175305846,9.501607749949802e-05,0.0003526044699052969
11,fdfc4807cbe2de71f74053c45ae0de383332c4e1,9.379527446898547e-05,0.0003482145257294178,9.414213286204772e-05,0.0003507788758724928,9.527088312262838e-05,0.00035217443170646823
12,537d35c2cf49cae0a496c37564fa282ec80e3695,9.336657398803668e-05,0.0003486181416645132,9.384994733739983e-05,0.00035045420130093896,9.490826844491741e-05,0.00035312743857502933
13,1b6831be8dc33308e77f3d3253f5ee777e3bb178,9.350925260646777e-05,0.00034827929921448235,9.385376152667132e-05,0.0003519787297894557,9.474896571852944e-05,0.00035272384993731973
14,7ef145115fede2c20df2cfc51ed28fcc9742b696,9.352828121998093e-05,0.0003490553858379523,9.423620490865275e-05,0.0003502031322568655,9.514426981860941e-05,0.00035301830309132735
15,175476fec763984573e60485a447978cbcb381c0,9.331715462560004e-05,0.00034854085794810594,9.40896486016837e-05,0.00035121158386270204,9.5120927488262e-05,0.0003530907134215037
16,c3c2b689cd4e1ccc24b18e764f105ed0e400ae92,9.405795400115577e-05,0.00034905152084926765,9.418615902012045e-05,0.0003505319046477477,9.458860890431837e-05,0.0003535738525291284
17,93240e0d8ea23644a5b7874037e658c54966ff54,0.00010076742964210334,0.00034898892045021057,0.00010179777446890546,0.000352124326551954,0.00010323288130029193,0.0003542229998856783
18,e1f191c46f2eebd6cb892a4bfe14d9dd43a06c4e,9.332412261177193e-05,0.0003495258589585622,9.399512359364466e-05,0.00035042952125271165,9.491891515525904e-05,0.0003532632254064083
19,8eedd3e911b7e3f5f35961871ddb8ee1559d4225,9.323086758906191e-05,0.00035644254447626215,9.640639817172831e-05,0.00035890315434542196,9.729984978383238e-05,0.0003673134307409155
20,ade91ea2f28284668fbf78971538ac4827d653b8,9.323264980180697e-05,0.00035070885593692467,9.408162652768872e-05,0.00035053820659716923,9.507834488017993e-05,0.0003532668704102779
21,b0a6e5583f2952a040c45d0d50f5e93372dc175b,0.00010008128093821661,0.00036454650348630445,0.00010030194082193905,0.0003634227572807244,0.00010564971338719764,0.0003717146048854504
22,94b36b557ce7d88bbfe4091c59aa376764b7047d,9.69202977351167e-05,0.00036054880668719613,9.876400316980752e-05,0.00036335114079217115,0.00010330404511818263,0.0003653255548199703
23,ce6d3ffc991c63c1a91fd806b4eb3d0008caace2,9.341800839386203e-05,0.0003481801909705003,9.369281628592447e-05,0.00034931201177338755,9.479605254124511e-05,0.0003517184561739365
24,aab7993af0f6f3b9ac0d76952933b19163d65496,9.311950680884447e-05,0.00034725901981194813,9.38058365136385e-05,0.00035028369165956974,9.46171497079459e-05,0.0003520228123913209
25,b94c2b01ff7ef5b8dc44726512cfa232e9054882,9.360034865411846e-05,0.0003477470794071754,9.389689022844489e-05,0.00035042720846831796,9.578804654831235e-05,0.0003522548278601005
