,hash,"n-1,mode-block","n-1,mode-copy","n-10,mode-block","n-10,mode-copy","n-100,mode-block","n-100,mode-copy"
0,3d0c041ca162d69cc5bbb4d9d051eca7933f12bd,0.0001267467257382189,5.216804451193293e-06,0.0005489118739205878,9.976808893649529e-05,1.1225314000039361,0.33408684900496155
1,ce140e8d5c28f1f057db1102cf78263e48f86d61,4.8899230087769374e-05,5.4967211885707355e-06,0.0004662289375119144,0.00010040521123705225,1.0953412125090836,0.3333993810083484
2,c18ab2c3975c8fa8b59724fe6855c528d72fef8c,4.831639761548667e-05,5.33011902506157e-06,0.0010294089988747146,0.00010096529990227686,1.0922861259896308,0.33445563350687735
3,3d2205dfd1d28fb8106e60223cf7207a3c05dbab,4.828885979906908e-05,5.309794031057854e-06,0.001031517562296358,9.974934445280167e-05,1.119211389494012,0.3349057379818987
4,c3fd79150bc183e8852f1330ea6e8cb4ca7ce7bc,4.842695543715214e-05,5.280270072865984e-06,0.0010256236873829039,0.00010006307792435917,1.0903720635105856,0.3421192055102438
5,71555c48be7f07833bd540dacb50deb8069b551f,4.821236136856235e-05,5.507178064278783e-06,0.0010365341240685666,0.00010006315553457373,1.0997452110023005,0.33355681151442695
6,5324067c702a41e901354a01a5f0d05ff49b6cb4,4.7618468440985224e-05,5.3126094414633825e-06,0.0010174361868848791,0.00010011807769640452,1.0909904119907878,0.3334236724913353
7,20cb312563b2e7c0b180db8dffbcd71d7dfd0bee,4.895702336270745e-05,5.307343015062747e-06,0.001037747373629827,9.992423325052693e-05,1.0906404469860718,0.34318484501272906
8,45ee22fa2fdd2bace756ed62685a346da91c4cb2,4.7225889126133866e-05,5.300913303983143e-06,0.00045741818757960573,9.938884468283505e-05,1.0894490515056532,0.33546970901079476
9,798aee26bdb9dcc0e806ca9271f0f98297188dec,4.937106404691864e-05,5.470856749281554e-06,0.0010196563744102605,9.995021100621671e-05,1.0965423794987146,0.33361169950512704
10,1c50f244d4d1eba4f3f63e93a05a2b2f938685a4,4.8684479191218054e-05,5.656264222972668e-06,0.0010327244381187484,0.00010052388626552948,1.142797732987674,0.33381276699947193
11,fca7a15f30776ebce9e6814eb927e837f567a518,4.842846067697758e-05,5.4621667493671985e-06,0.001033154187098262,0.00010047334459765503,1.0970768209954258,0.3355408830102533
12,26311ed7bf80e02c827189e80084602d72e4f284,4.885612322331601e-05,5.532282329559925e-06,0.0010242278731311671,0.00010002687760990941,1.0931222540093586,0.3352240475069266
13,b5e01bcb668da0413170a886c258e00d2540e752,4.7926727314585486e-05,5.8833208153668016e-06,0.0010364473127992824,0.0001010150444926694,1.0999917604931397,0.33448761301406194
14,ab30683fe1277a7fd471be63975a02ed8d766f94,4.914328534175852e-05,5.347296432416832e-06,0.0010347683128202334,0.00010257433330278015,1.127172929001972,0.3516273595014354
15,3c89e2f913406f55b6e998017c1149e3ba383bcc,4.933756575976476e-05,5.83556371036034e-06,0.0010344146430725232,0.0001024559747747844,1.1508896625018679,0.3435253190109506
16,590f07121dc55e6d9d9ce514887c9bbc253fb266,7.565817973470966e-05,5.994554844530249e-06,0.000689548928806159,0.00010714356123083611,1.6342200735089136,0.3981305190100102
17,872372bd56ccb5fe98faae8be7d14e4a8c69e037,0.00016211022847090607,9.18805698874923e-06,0.00123565350077115,0.0001222856950423703,0.4907645820057951,0.36337630850903224
18,70a84c3192b4f231925e8e36f50d6a26bff3b46d,5.860398232471198e-05,1.186752597761409e-05,0.0007049349151202478,0.00014560701775139775,0.49989208098850213,0.3825893589964835
19,9d416356baf4a653b2c647a921ae24ba7d39e8df,5.27376034342927e-05,5.772112192634019e-06,0.0005897219980397495,0.00010366776813298645,0.4650696245080326,0.35168582999904174
