,hash,dtype-<class 'numpy.int8'>,dtype-<class 'numpy.uint8'>,dtype-<class 'numpy.int16'>,dtype-<class 'numpy.uint16'>,dtype-<class 'numpy.int32'>,dtype-<class 'numpy.uint32'>,dtype-<class 'numpy.int64'> (0),dtype-<class 'numpy.uint64'>,dtype-<class 'numpy.float32'>,dtype-<class 'numpy.float64'>,dtype-<class 'numpy.int64'> (1)
0,03164d2d819f9b38e1c684d6d9e128f11867dc3c,,,,,,,,,5.9416833145370905e-05,9.941426105797291e-05,
1,60df9b1eb6375e3decf12ba7506404c46af0469a,,,,,,,,,5.942935979849584e-05,9.34444432772818e-05,
2,772c80b1ce1db7e30497fcf555ac9af56b0d7fce,,,,,,,,,6.033941221866697e-05,9.714193557473747e-05,
3,66d357ae3aedcd324a1c607e037adc65d3ae1c02,,,,,,,,,6.108177425947203e-05,9.375470273984156e-05,
4,cec39effb1739ae0a7690e56d58d3e9432569d5f,,,,,,,,,6.031151089138089e-05,9.506541007960384e-05,
5,8ae543cb13769a0afa6e176898824db7fd992d27,,,,,,,,,6.571091265857585e-05,9.897100654515352e-05,
6,c890b10a8ade5df19f97b02a2b10a75f9f6075e9,,,,,,,,,6.001185641487998e-05,9.524363891354629e-05,
7,c9a83043c0669fd17306843eb21abd236b675537,,,,,,,,,6.307725191676203e-05,9.160383737512998e-05,
8,4d87d909bab7a7dd4bb570444cf35d98d551668f,,,,,,,,,6.0631325886992924e-05,9.256008250469511e-05,
9,a280f5e5d725de732a906b67172114b263ac3bfa,,,,,,,,,6.057074593411664e-05,9.394699538295919e-05,
10,c303c9b77afbc7fe6f4049683c3ccaabdebe7be3,,,,,,,,,6.653687823012736e-05,9.962861417784347e-05,
11,fdfc4807cbe2de71f74053c45ae0de383332c4e1,,,,,,,,,6.443142300731567e-05,9.811298752372916e-05,
12,537d35c2cf49cae0a496c37564fa282ec80e3695,,,,,,,,,6.66503409580516e-05,0.00010013346844870184,
13,1b6831be8dc33308e77f3d3253f5ee777e3bb178,,,,,,,,,6.714219971281753e-05,0.00010612428637354502,
14,7ef145115fede2c20df2cfc51ed28fcc9742b696,,,,,,,,,6.535475785356191e-05,0.00010184703985162611,
15,175476fec763984573e60485a447978cbcb381c0,,,,,,,,,6.201582701495764e-05,9.953214804518898e-05,
16,c3c2b689cd4e1ccc24b18e764f105ed0e400ae92,,,,,,,,,6.635083554118324e-05,9.863061449405821e-05,
17,93240e0d8ea23644a5b7874037e658c54966ff54,,,,,,,,,6.485178780097228e-05,0.00010247507114147786,
18,e1f191c46f2eebd6cb892a4bfe14d9dd43a06c4e,,,,,,,,,6.395924151286311e-05,0.0001026266344904321,
19,8eedd3e911b7e3f5f35961871ddb8ee1559d4225,,,,,,,,,6.4826139283401e-05,0.00010284428251907228,
20,ade91ea2f28284668fbf78971538ac4827d653b8,,,,,,,,,6.499197228816944e-05,0.00010059691187970846,
21,b0a6e5583f2952a040c45d0d50f5e93372dc175b,,,,,,,,,6.321638251062143e-05,0.00010146485426678107,
22,94b36b557ce7d88bbfe4091c59aa376764b7047d,,,,,,,,,6.653242298362854e-05,0.00010197923984378576,
23,ce6d3ffc991c63c1a91fd806b4eb3d0008caace2,,,,,,,,,6.267756609965792e-05,9.802629448751979e-05,
24,aab7993af0f6f3b9ac0d76952933b19163d65496,,,,,,,,,6.789827602915466e-05,0.00010326358955353498,
25,b94c2b01ff7ef5b8dc44726512cfa232e9054882,,,,,,,,,6.62612209725342e-05,0.00010369901900135334,
