,hash,size-1,size-10,size-100
0,3d0c041ca162d69cc5bbb4d9d051eca7933f12bd,2.7853115601026983e-05,2.9747937498376068e-05,8.278854681975645e-05
1,ce140e8d5c28f1f057db1102cf78263e48f86d61,1.3699435180690012e-05,1.5231391127282814e-05,6.706868272232942e-05
2,c18ab2c3975c8fa8b59724fe6855c528d72fef8c,1.3030207815809919e-05,1.4513581691959112e-05,6.679243997956592e-05
3,3d2205dfd1d28fb8106e60223cf7207a3c05dbab,1.314260691902797e-05,1.4572297701434402e-05,6.655364968016103e-05
4,c3fd79150bc183e8852f1330ea6e8cb4ca7ce7bc,1.2902461749035864e-05,1.4678435236324084e-05,6.633817717061625e-05
5,71555c48be7f07833bd540dacb50deb8069b551f,1.3131707685651501e-05,1.4656663389568212e-05,6.662283844013716e-05
6,5324067c702a41e901354a01a5f0d05ff49b6cb4,1.321181057113679e-05,1.4612346310601086e-05,6.690398462254693e-05
7,20cb312563b2e7c0b180db8dffbcd71d7dfd0bee,1.3707038564430813e-05,1.5354921553615762e-05,6.746541566826636e-05
8,45ee22fa2fdd2bace756ed62685a346da91c4cb2,1.3340412639233258e-05,1.4910553016614457e-05,6.700954628162614e-05
9,798aee26bdb9dcc0e806ca9271f0f98297188dec,1.4150016790522926e-05,1.557731192527287e-05,7.009534611148783e-05
10,1c50f244d4d1eba4f3f63e93a05a2b2f938685a4,1.3582815940892613e-05,1.5139396410142577e-05,6.913538805077368e-05
11,fca7a15f30776ebce9e6814eb927e837f567a518,1.373732553027386e-05,1.5499748175896943e-05,6.748449059159611e-05
12,26311ed7bf80e02c827189e80084602d72e4f284,1.3150783258323246e-05,1.4897253585245287e-05,6.667845025629685e-05
13,b5e01bcb668da0413170a886c258e00d2540e752,1.3429309563284182e-05,1.5007361460054024e-05,6.72728819837678e-05
14,ab30683fe1277a7fd471be63975a02ed8d766f94,1.3641635706171897e-05,1.5201948346718418e-05,6.919631373675204e-05
15,3c89e2f913406f55b6e998017c1149e3ba383bcc,1.3633450733902443e-05,1.508563859912188e-05,6.884609735737155e-05
16,590f07121dc55e6d9d9ce514887c9bbc253fb266,1.2896556433638776e-05,1.5420911867960983e-05,7.341918248740997e-05
17,872372bd56ccb5fe98faae8be7d14e4a8c69e037,3.0173650295729345e-05,3.270708702045842e-05,0.0001666759412995923
18,70a84c3192b4f231925e8e36f50d6a26bff3b46d,1.9452714685931668e-05,2.257112474190603e-05,0.00016091911717975403
19,9d416356baf4a653b2c647a921ae24ba7d39e8df,3.0280047628496377e-05,3.261733605517316e-05,0.00019275772634004665
20,09dd75e9e2139bc9742e6009b7babe41d4c002df,3.024274732896267e-05,2.173616367420464e-05,0.00015484703009646824
21,85d64e375f53f6028519d3aaad0b421934dcbe24,1.8284472353829475e-05,2.1054003994861718e-05,0.00014780349980962154
22,09e04dcbe3d0c836437b2d4745b353b256ec6265,2.5511861852515936e-05,2.9135579889519627e-05,0.00015635341696906835
23,cdd7ab252988ff4254705e0a89874edeb5cea8eb,2.518475930965333e-05,2.8480528548559803e-05,0.00015591988873590404
24,06da877ceae914a875bd1a55cd8e271332358803,2.6489324246242025e-05,2.89665039940217e-05,0.00015623786182711937
25,8529dfaaec65248420faffe095bac03c23881735,2.4839471316836224e-05,2.8129771786759113e-05,0.0001553368880801524
26,171a3e5811e43643788c20075be9ba52efb83b81,2.5333918688154226e-05,2.883505721688169e-05,0.00015337622203838287
27,5bf9ab98edd254dee1162d6f1863053e040cf828,2.6586694157739088e-05,2.9782873281592527e-05,0.00016286744438629184
28,9776a73cee9eaaff6af40e971fa2bb7f8f1086c5,2.648956493879729e-05,2.980153003799593e-05,0.00015519386215601116
29,37a1ad069a800f5ef98286f25fb3fb632375168d,2.339405768310727e-05,2.6670271139510848e-05,0.00015160466621940336
30,1cb2230bb1bfb9b2544dab798dffeedce64ad39f,2.3422500001414858e-05,2.6455254382675602e-05,0.00015231991629762988
31,044f5131450f38cdfbab63d6999b60e7e3bbabe5,2.3268755651511065e-05,2.612772849485672e-05,0.0001513517224035847
32,dc089026b4ad0d2d9ea992c7f1b9b5e716dd82cd,2.3329119045911803e-05,2.616537496596904e-05,0.00015406227774090238
33,53adf81bc503d749b13160a27e49160c5bbe48d7,2.359606117396196e-05,2.640012124174973e-05,0.00015329311119987525
34,49e00940a82f9590d774539cd188b634c29fc39f,2.344469068093874e-05,2.602110321480614e-05,0.00015636349982944212
35,7b9b41a4c7dbd7b719d62f343f57f841f5809693,2.353744837674072e-05,2.6379832488601098e-05,0.00015319847201074782
36,ae88e02a48c4744afd22c63be388870037f3c84c,2.3528399751337117e-05,2.6351600787565793e-05,0.00015532902762060985
37,0aeab48b9e914d1dc7041b7e3f3b7e575ffcbbed,2.2561009986165384e-05,2.5449359900844485e-05,0.0001528044441430312
38,c18b3f59b5f5752ab038224fd3bdf2dadba55ecf,2.258781026804562e-05,2.576259525322395e-05,0.00015288652745463574
39,a5e5e51187d4476841503ce816924ea99936dba0,2.31178213346467e-05,2.647762621742075e-05,0.0001542976105055358
40,b69cf68a24cffea0a884a102da1797755de8f022,2.321915471920589e-05,2.588678967815845e-05,0.00015310380533466942
41,ee3e17a7c3e3efdeafe907b394de56aed01a70e0,2.4609107725770457e-05,2.730927368056176e-05,0.00016305738245137036
42,c71ce0e6dbd9ec67b3ac7fb5ac3eb609f8a56829,2.421229176370418e-05,2.7101537618305414e-05,0.00016640517680892064
43,0ce156413feb21a4f2a8eae3b1cd954d04240edd,2.3907780967548744e-05,2.6852738395148465e-05,0.00015393372248379618
44,7e3fd81c039b0e22715c4e6eb63439bdf5a620bf,2.618565562728441e-05,3.069900156012463e-05,0.0001771916765445734
45,a6b4b2bdd6baf2afde27284097426e93912452e9,2.572939754176287e-05,2.8695716212717567e-05,0.00015949988258345162
46,c8a5ff07e5bda47eab870671634b107da5ab7934,2.3462038819298582e-05,2.616756608590084e-05,0.00015780025003348582
47,fafd123410f1ad5c47341c66d8ea4cf541165e77,2.315510519357752e-05,2.5884669535239606e-05,0.0001524041945231147
48,9765987c2ade250c82bfeaba49d1f9301211d63a,3.286127216611286e-05,3.370620253940903e-05,0.00017737943744577933
49,dbf37449935bced333a3999afa860aaf304ab1a1,2.5946349996957e-05,3.08974729004072e-05,0.0001720067184578511
50,e1863f3582e3e8870205f8a9d1ed1cef1bf536b4,3.703227548902279e-05,3.4423334030737754e-05,0.00020666823044078995
51,70f4309a155808d3a60a9a71db2d9482c1ec3ad7,2.562465576818283e-05,2.8468007381975144e-05,0.00016097944128833823
52,bb6b86e2afe88b371badfcefe298945002e47006,2.5765187653891146e-05,2.8925789832770773e-05,0.00015695288918019895
53,5c3762157a0cd7a6a036a2144a5fbfc5278a919d,2.640196530206445e-05,2.9620574865362603e-05,0.00015714416682991822
54,e0ffe3572b37190d9da5b1d07057e4e038bd3197,2.6009919700680706e-05,2.8830295991307744e-05,0.0001605517500138376
55,cfb6a4d88d88307d507a86d1d70cd7d84c611406,2.4745932795719092e-05,2.7712269228993017e-05,0.00015729799997643568
56,d4f7d9e215773e979eb43a1e5a3cbb51f96bd09d,2.606757857609496e-05,2.925626724662698e-05,0.0001825089117012206
57,bec2b07db5c999721d2d2c10334f3afe78aaadd9,2.4935864152644066e-05,2.7980242456366907e-05,0.00015538525015775423
58,5ca0ef6272ef3eabe2feb4049b7cb05a52516495,2.5907938131897728e-05,2.8942583331728304e-05,0.00016162352960022604
59,cb557b79fa0ce467c881830f8e8e042c484ccfaa,2.596405116832347e-05,2.8965004257925075e-05,0.00016379488250309164
60,badbf70324274bdb4299d8c64d3d83a26be2d4c0,2.1196035341938223e-05,2.755270803008167e-05,0.0001633818238213494
61,4c780c2d4b35a54cf45ca7d931efcaca73d0bf24,3.073318271984694e-05,3.515121039625772e-05,0.00019183449997702456
62,3c91a3e1704c8aa7f1258aa30892040df9d952f4,2.2301139306454842e-05,2.5506796789844895e-05,0.00017804497046574182
63,fe3d717080e812383900507168a6bd7093c4e434,1.988118689209815e-05,2.273685830946222e-05,0.00015036977796019832
64,0cb9f7f7aa8f4255fafb5431dcc595ce183bc376,2.009336111214729e-05,2.280059911774539e-05,0.0001498149722465314
65,e69faef03428b82f5651a5fb521610ddea2bd22a,2.0718795399343273e-05,2.375099447456386e-05,0.00016096899990871962
66,092905febd53742d2a700322f88b652d6a5fd4fb,2.1059960205575962e-05,2.430290558736604e-05,0.0001592662648523829
67,6cd4b015dfd512fb4bc9d2e06a0f0cef4503582b,2.1072966260892667e-05,2.401090710885276e-05,0.0001890474706990918
68,3544fae2859d8ecac378b9ddc8f909c69455a831,2.5018365392320205e-05,2.370644392967195e-05,0.00015627447090296568
69,05fcb6544f72ea173011a77cee14d72979ffe293,2.6063929809531582e-05,2.9578572053544444e-05,0.00017383493347248682
70,f4ef0fd5d97afc7788c46eb51889e90623f5577e,2.2033274941126104e-05,2.4851975906065225e-05,0.0001563270880604464
71,5cc7ef066fca7a821a2160b095578384c301ae3c,2.6404269236475603e-05,2.9192391227663937e-05,0.00018133823323296383
72,c6d2aae8a92371bc9f7ddda990176fb014adb0d7,2.710299743809558e-05,3.061212605554793e-05,0.00016963702942388514
73,e3b831cd85e2f4d73b0db8e8d501828b50a96c64,3.525388836901267e-05,3.996365578232647e-05,0.00019615516672881011
74,b3a7a69a198a8385735584b88408c91a1eef5a4b,2.1863530147694855e-05,2.469895023845552e-05,0.000157107764714644
75,bc6a6084f6e49bd78c12508131395304a63cc6ca,2.280214826912303e-05,2.6202978726863142e-05,0.0001712132646335864
76,c0d36c88b8b525f5869eefd893d1d77ffe41903e,2.131854252565142e-05,2.4459465897631493e-05,0.00015182608331087977
77,bcdfd208a9b99036cc6e379180c3242b08dedc47,2.067693329246884e-05,2.364086743233032e-05,0.0001512931946005362
78,49c560c22f137907ea6a240591e49b004f28444b,2.1284494985593483e-05,2.4281908459354028e-05,0.00015230858358942595
79,45fb3a28100d509b695f432cf100f36f0e4c2f9f,2.1206410044013175e-05,2.4406548455163802e-05,0.00015147797239478678
80,273b7fe0a94ae3a8ac96f4b34a396a8d3584c210,2.0695437360591964e-05,2.3639942016664213e-05,0.00015078636028596925
81,8840d950e0eedf2eadb96d9867d8f8341e51aaac,2.1651371405172493e-05,2.4609555711260978e-05,0.00015058541612233967
82,9d9cc5ca473d52eeda693a254fc0a1cbd4f4f1c4,2.5059292385743165e-05,3.0296890296355846e-05,0.00016110683241600377
