,hash,dtype-<class 'bool'>,dtype-<class 'numpy.uint64'>
0,5bf9ab98edd254dee1162d6f1863053e040cf828,5.416608870522606e-06,0.00013205889136651936
1,9776a73cee9eaaff6af40e971fa2bb7f8f1086c5,4.1897476211259e-06,0.0001059900534122242
2,37a1ad069a800f5ef98286f25fb3fb632375168d,3.948216922749989e-06,0.00010567092149536692
3,1cb2230bb1bfb9b2544dab798dffeedce64ad39f,4.059984500919666e-06,0.00010570460671640353
4,044f5131450f38cdfbab63d6999b60e7e3bbabe5,4.083951347731699e-06,0.00010582771846228867
5,dc089026b4ad0d2d9ea992c7f1b9b5e716dd82cd,4.156505883035741e-06,0.0001059533690228986
6,53adf81bc503d749b13160a27e49160c5bbe48d7,4.0496448210568605e-06,0.0001060169460662805
7,49e00940a82f9590d774539cd188b634c29fc39f,4.01413211401705e-06,0.00010600645599005671
8,7b9b41a4c7dbd7b719d62f343f57f841f5809693,4.1818543580618465e-06,0.0001088239292548311
9,ae88e02a48c4744afd22c63be388870037f3c84c,4.156878983527891e-06,0.00010627451468049091
10,0aeab48b9e914d1dc7041b7e3f3b7e575ffcbbed,3.988152687763552e-06,0.00010596587372040659
11,c18b3f59b5f5752ab038224fd3bdf2dadba55ecf,4.0581947262267356e-06,0.00010599906875309077
12,a5e5e51187d4476841503ce816924ea99936dba0,4.0528786770200055e-06,0.00010591066501485364
13,b69cf68a24cffea0a884a102da1797755de8f022,3.9869094691825985e-06,0.00010605851452214445
14,ee3e17a7c3e3efdeafe907b394de56aed01a70e0,4.333056816809498e-06,0.00010871231071063254
15,c71ce0e6dbd9ec67b3ac7fb5ac3eb609f8a56829,4.445379136617391e-06,0.00011233353416173486
16,0ce156413feb21a4f2a8eae3b1cd954d04240edd,4.16310865203241e-06,0.00010615946566937127
17,7e3fd81c039b0e22715c4e6eb63439bdf5a620bf,4.257759019604078e-06,0.00010750987741059861
18,a6b4b2bdd6baf2afde27284097426e93912452e9,4.415714587064396e-06,0.00011079868040114795
19,c8a5ff07e5bda47eab870671634b107da5ab7934,4.108891201701485e-06,0.00010596885646135538
20,fafd123410f1ad5c47341c66d8ea4cf541165e77,3.990636295417193e-06,0.00010591855822797883
21,9765987c2ade250c82bfeaba49d1f9301211d63a,4.550025075975105e-06,0.00011148976285692267
22,dbf37449935bced333a3999afa860aaf304ab1a1,5.598558458809783e-06,0.00011296555726403312
23,e1863f3582e3e8870205f8a9d1ed1cef1bf536b4,8.347865454693833e-06,0.00014696495757454028
24,70f4309a155808d3a60a9a71db2d9482c1ec3ad7,4.407005018399018e-06,0.00010894152632988008
25,bb6b86e2afe88b371badfcefe298945002e47006,4.525507701669568e-06,0.00010948563723621762
26,5c3762157a0cd7a6a036a2144a5fbfc5278a919d,4.367048221994816e-06,0.00010670943625953834
27,e0ffe3572b37190d9da5b1d07057e4e038bd3197,4.762212079690977e-06,0.00011463529892690653
28,cfb6a4d88d88307d507a86d1d70cd7d84c611406,4.194018904830601e-06,0.00010632640688152818
29,d4f7d9e215773e979eb43a1e5a3cbb51f96bd09d,4.197805162495195e-06,0.0001012930833557793
30,bec2b07db5c999721d2d2c10334f3afe78aaadd9,4.082500385245162e-06,9.560955556851156e-05
31,5ca0ef6272ef3eabe2feb4049b7cb05a52516495,4.254904835572441e-06,0.00010971245957089287
32,cb557b79fa0ce467c881830f8e8e042c484ccfaa,4.169592100208698e-06,9.994405141169919e-05
33,badbf70324274bdb4299d8c64d3d83a26be2d4c0,4.040500381583637e-06,9.571711819841188e-05
34,4c780c2d4b35a54cf45ca7d931efcaca73d0bf24,3.953598018631731e-06,9.561612268126654e-05
35,3c91a3e1704c8aa7f1258aa30892040df9d952f4,4.254772574679905e-06,9.959139090576421e-05
36,fe3d717080e812383900507168a6bd7093c4e434,5.472646380201748e-06,0.00010008596820460463
37,0cb9f7f7aa8f4255fafb5431dcc595ce183bc376,4.2208585376535e-06,9.567039090721995e-05
38,e69faef03428b82f5651a5fb521610ddea2bd22a,5.451275470769294e-06,0.00012409420265317454
39,092905febd53742d2a700322f88b652d6a5fd4fb,8.653854958598563e-06,0.0001437025172796486
40,6cd4b015dfd512fb4bc9d2e06a0f0cef4503582b,4.25600296721022e-06,9.985417455027346e-05
41,3544fae2859d8ecac378b9ddc8f909c69455a831,6.5374333338389675e-06,0.00014723581167439893
42,05fcb6544f72ea173011a77cee14d72979ffe293,4.354605369178577e-06,9.81284499919804e-05
43,f4ef0fd5d97afc7788c46eb51889e90623f5577e,4.478219952252016e-06,9.828435378160134e-05
44,5cc7ef066fca7a821a2160b095578384c301ae3c,4.782541059794592e-06,0.0001002957361143436
45,c6d2aae8a92371bc9f7ddda990176fb014adb0d7,6.896323687761912e-06,0.00011409345947991037
46,e3b831cd85e2f4d73b0db8e8d501828b50a96c64,5.096942558702247e-06,0.00011400320693809036
47,b3a7a69a198a8385735584b88408c91a1eef5a4b,4.476592123685052e-06,0.00010028393457972261
48,bc6a6084f6e49bd78c12508131395304a63cc6ca,5.801533332900459e-06,0.00011125787962858644
49,c0d36c88b8b525f5869eefd893d1d77ffe41903e,4.383583365517322e-06,9.589877260044556e-05
50,bcdfd208a9b99036cc6e379180c3242b08dedc47,4.305395025457825e-06,9.600351358213546e-05
51,49c560c22f137907ea6a240591e49b004f28444b,4.1811742427943715e-06,9.57909681760198e-05
52,45fb3a28100d509b695f432cf100f36f0e4c2f9f,4.29844609218285e-06,9.596161584744955e-05
53,273b7fe0a94ae3a8ac96f4b34a396a8d3584c210,4.207022190757412e-06,9.594511820151556e-05
54,8840d950e0eedf2eadb96d9867d8f8341e51aaac,5.410363840691113e-06,9.826333632438698e-05
55,9d9cc5ca473d52eeda693a254fc0a1cbd4f4f1c4,4.500859788510366e-06,0.00010349717950764863
