,hash,"dtype-f,stride-1","dtype-f,stride-2","dtype-f,stride-4","dtype-d,stride-1","dtype-d,stride-2","dtype-d,stride-4"
0,03164d2d819f9b38e1c684d6d9e128f11867dc3c,9.541542861949314e-05,9.888977828350934e-05,0.00010075748280108532,9.32834195819768e-05,9.747964584014632e-05,9.808570823886177e-05
1,60df9b1eb6375e3decf12ba7506404c46af0469a,9.898685596205971e-05,0.0001020530408078974,0.00010359557255959281,9.545545009049503e-05,9.783270599489862e-05,9.806720643407769e-05
2,772c80b1ce1db7e30497fcf555ac9af56b0d7fce,9.521551599556748e-05,9.910287335515022e-05,0.00010079367817423054,9.290138682858511e-05,9.814027950844981e-05,9.831837895843718e-05
3,66d357ae3aedcd324a1c607e037adc65d3ae1c02,9.530258195644075e-05,9.900085543366997e-05,0.00010085655550394102,9.334624575620348e-05,9.737515421671288e-05,9.805323048071428e-05
4,cec39effb1739ae0a7690e56d58d3e9432569d5f,9.562580466822342e-05,9.907569566910916e-05,0.00010082942362015064,9.268290701914918e-05,9.745538912036203e-05,9.80831552122798e-05
5,8ae543cb13769a0afa6e176898824db7fd992d27,9.50305595655333e-05,9.856168624191057e-05,0.00010046187391573633,9.277315217662941e-05,9.72782134671103e-05,9.780692952600392e-05
6,c890b10a8ade5df19f97b02a2b10a75f9f6075e9,9.569999846545133e-05,9.912271899255839e-05,0.00010039426248382638,9.358737787062472e-05,9.719789873256727e-05,9.78263814679601e-05
7,c9a83043c0669fd17306843eb21abd236b675537,9.551303545859727e-05,9.928544805873007e-05,0.00010092196133092184,9.312567893754353e-05,9.79539711968364e-05,9.817608966017669e-05
8,4d87d909bab7a7dd4bb570444cf35d98d551668f,9.532534856010566e-05,9.930744501096862e-05,0.00010090914476558428,9.29063694043593e-05,9.744138118218291e-05,9.807301103137434e-05
9,a280f5e5d725de732a906b67172114b263ac3bfa,9.56568189642646e-05,9.893892671574247e-05,0.00010074914441766025,9.314182891764425e-05,9.722228754650463e-05,9.785403245102578e-05
