,hash,rng-PCG64,rng-MT19937,rng-Philox,rng-SFC64,rng-numpy
0,9776a73cee9eaaff6af40e971fa2bb7f8f1086c5,0.0017911674998079738,0.002339800097979605,0.0026631778746377677,,0.004450001666555181
1,37a1ad069a800f5ef98286f25fb3fb632375168d,0.0017946313334202082,0.002328973301337101,0.00270146137336269,,0.004453628498595208
2,1cb2230bb1bfb9b2544dab798dffeedce64ad39f,0.0017460560848121531,0.002327663497999311,0.0026393757470941637,0.0012831386247853516,0.0044436193323538955
3,044f5131450f38cdfbab63d6999b60e7e3bbabe5,0.001748927332907139,0.002324745096848346,0.0026482967514311895,0.001285049813304795,0.004449871674296446
4,dc089026b4ad0d2d9ea992c7f1b9b5e716dd82cd,0.0017480799166757302,0.002326237899251282,0.0026435098734509666,0.0012848330625274684,0.004449809333891608
5,53adf81bc503d749b13160a27e49160c5bbe48d7,0.0017507370818445147,0.002331329000298865,0.0026443934984854423,0.0013385383117565652,0.004452473668303961
6,49e00940a82f9590d774539cd188b634c29fc39f,0.0017464568348562655,0.002327462102402933,0.0026526907495281193,0.0012849991253460757,0.00444278449867852
7,7b9b41a4c7dbd7b719d62f343f57f841f5809693,0.0017532585819329447,0.002331620897166431,0.00276034312628326,0.0013066110004729126,0.004430200167310735
8,ae88e02a48c4744afd22c63be388870037f3c84c,0.0017201801674673334,0.0023403864033753052,0.0027962723761447705,0.0012982808766537346,0.0044285285063475986
9,0aeab48b9e914d1dc7041b7e3f3b7e575ffcbbed,0.0017521550859479853,0.0023303369962377474,0.0027732781272788998,0.001287933000639896,0.004448488495351436
10,c18b3f59b5f5752ab038224fd3bdf2dadba55ecf,0.001748987085496386,0.002334275798057206,0.0027755578776123002,0.0013229090018285206,0.004471648998636132
11,a5e5e51187d4476841503ce816924ea99936dba0,0.0017514573337393813,0.0023307399009354413,0.002776904500933597,0.0012871356248069787,0.004443771164612069
12,b69cf68a24cffea0a884a102da1797755de8f022,0.0017511309997644275,0.002332716900855303,0.002772943125819438,0.001287134688027436,0.004468772499725068
13,ee3e17a7c3e3efdeafe907b394de56aed01a70e0,0.0021892954988288692,0.003201832623744849,0.003394447499886155,0.0016189654985889015,0.005254126248473767
14,c71ce0e6dbd9ec67b3ac7fb5ac3eb609f8a56829,0.0019716005990630947,0.0029796255003020633,0.0032714101689634845,0.0015891628745521302,0.00524328599931323
15,0ce156413feb21a4f2a8eae3b1cd954d04240edd,0.00171064983199661,0.002328666699759197,0.0027931594995607156,0.00127590081319795,0.004445516167227955
