,hash,"dtype-f,stride-1","dtype-f,stride-2","dtype-f,stride-4","dtype-d,stride-1","dtype-d,stride-2","dtype-d,stride-4"
0,3d0c041ca162d69cc5bbb4d9d051eca7933f12bd,9.572645900665189e-05,0.00010025143397660083,0.00010103139717340749,0.00011070196326871059,0.00011460423922200905,0.00011535670653203218
1,ce140e8d5c28f1f057db1102cf78263e48f86d61,9.52317089699632e-05,9.94927123549201e-05,0.00010110083036673836,9.308517262318425e-05,9.785454087911851e-05,9.847610000923106e-05
2,c18ab2c3975c8fa8b59724fe6855c528d72fef8c,9.54763364544223e-05,9.952660279553035e-05,0.00010101120101905942,0.00011003104632014659,0.0001146059890426999,0.0001150177179605383
3,3d2205dfd1d28fb8106e60223cf7207a3c05dbab,9.564088197128677e-05,9.928682708033473e-05,0.00010073176167892274,0.00011020816666793755,0.00011609234727649509,0.00011499010121197182
4,c3fd79150bc183e8852f1330ea6e8cb4ca7ce7bc,9.555704547727312e-05,9.965441593895971e-05,0.00010102014487095734,0.00011018454552877394,0.00011434388932110252,0.00011507423403871028
5,71555c48be7f07833bd540dacb50deb8069b551f,9.543581360379571e-05,9.9276679151753e-05,0.00010095960740761605,9.299031821270051e-05,9.775013194567608e-05,9.856359088602899e-05
6,5324067c702a41e901354a01a5f0d05ff49b6cb4,9.53372135303322e-05,9.92404819540256e-05,0.00010102821910376882,9.270443631314926e-05,9.934892269401727e-05,0.00010020064134018953
7,20cb312563b2e7c0b180db8dffbcd71d7dfd0bee,9.54997772086327e-05,9.930643397449287e-05,0.0001292454286678029,9.508870002305643e-05,9.97731038742646e-05,0.00010134705192989336
8,45ee22fa2fdd2bace756ed62685a346da91c4cb2,9.533509543292564e-05,9.942559104687957e-05,0.00010091895792441809,9.293223186184398e-05,9.713725229860153e-05,9.801459541036324e-05
9,798aee26bdb9dcc0e806ca9271f0f98297188dec,9.656406367536296e-05,0.00010227087364663161,0.00010424480398582732,9.583875454898754e-05,0.00013916773813044917,0.00014183557616010055
10,1c50f244d4d1eba4f3f63e93a05a2b2f938685a4,9.620880168853855e-05,0.00010004967731550674,0.00010159117911551324,9.378076369599017e-05,9.82446363195777e-05,9.878429078856821e-05
11,fca7a15f30776ebce9e6814eb927e837f567a518,9.606811363482848e-05,9.993602779340344e-05,0.0001015592190448106,9.372734110167419e-05,9.821016362614253e-05,9.884342937268984e-05
12,26311ed7bf80e02c827189e80084602d72e4f284,0.00011668704398319247,0.00012050863895435921,0.00012144231393819588,9.379904090151698e-05,9.798786817224358e-05,9.87881273348731e-05
13,b5e01bcb668da0413170a886c258e00d2540e752,9.586801355577666e-05,9.997384256200382e-05,0.00010130095248487557,9.359978192316537e-05,9.810462268598546e-05,9.893706367372282e-05
14,ab30683fe1277a7fd471be63975a02ed8d766f94,9.814545561650157e-05,0.00010261847678015733,0.00010374323560077196,9.58381136032668e-05,0.00010042112275682899,0.00010101252838415708
15,3c89e2f913406f55b6e998017c1149e3ba383bcc,0.00010006555152658526,0.00010391729401639096,0.00010373075244025988,9.597779164862543e-05,0.00010078463674290106,0.00010082926656607361
16,590f07121dc55e6d9d9ce514887c9bbc253fb266,9.940265856410126e-05,0.00010286408317316433,0.00010900481187365026,0.00010594243196299595,0.0001131481927937368,0.00010083481563182855
17,872372bd56ccb5fe98faae8be7d14e4a8c69e037,0.00010782842445275132,0.00010630362983367656,0.00010802435780551248,9.763116818662225e-05,0.00010229120198346209,0.00010326971920828024
18,70a84c3192b4f231925e8e36f50d6a26bff3b46d,0.00011475358930367388,0.00012118314362564826,0.00010378340403517479,0.00013582771352957935,0.00012738119403366,0.0001277211001641782
19,9d416356baf4a653b2c647a921ae24ba7d39e8df,0.00010026154285740285,0.00012504062612509373,0.0001061803923221305,9.77008046571758e-05,0.00010241038206622075,0.00010743252611670565
20,09dd75e9e2139bc9742e6009b7babe41d4c002df,0.0001003336017472773,0.00010409900977929981,0.00010597033019842201,9.790168591872463e-05,0.00010307125488067798,0.00012446010479747895
21,85d64e375f53f6028519d3aaad0b421934dcbe24,9.604605914897879e-05,9.983479173603916e-05,0.00010146222120965831,9.375143179733475e-05,9.80884590800005e-05,9.878748110253891e-05
22,09e04dcbe3d0c836437b2d4745b353b256ec6265,9.611535457555544e-05,9.98201617871278e-05,0.00010151758862911749,9.349874096435749e-05,9.773647285659206e-05,9.84791045828553e-05
23,cdd7ab252988ff4254705e0a89874edeb5cea8eb,9.622479106341912e-05,9.964092128535008e-05,0.00010164248096071578,9.354833177481353e-05,9.783632280728357e-05,9.872152718757703e-05
