,hash,default
0,590f07121dc55e6d9d9ce514887c9bbc253fb266,8.449576961367603e-07
1,872372bd56ccb5fe98faae8be7d14e4a8c69e037,8.449576961367603e-07
2,70a84c3192b4f231925e8e36f50d6a26bff3b46d,8.449576961367603e-07
3,9d416356baf4a653b2c647a921ae24ba7d39e8df,8.449576961367603e-07
4,09dd75e9e2139bc9742e6009b7babe41d4c002df,8.449576961367603e-07
5,85d64e375f53f6028519d3aaad0b421934dcbe24,8.449576961367603e-07
6,09e04dcbe3d0c836437b2d4745b353b256ec6265,8.449576961367603e-07
7,cdd7ab252988ff4254705e0a89874edeb5cea8eb,8.449576961367603e-07
8,06da877ceae914a875bd1a55cd8e271332358803,8.449576961367603e-07
9,8529dfaaec65248420faffe095bac03c23881735,8.449576961367603e-07
10,171a3e5811e43643788c20075be9ba52efb83b81,8.449576961367603e-07
11,5bf9ab98edd254dee1162d6f1863053e040cf828,8.449576961367603e-07
12,9776a73cee9eaaff6af40e971fa2bb7f8f1086c5,8.449576961367603e-07
13,37a1ad069a800f5ef98286f25fb3fb632375168d,8.449576961367603e-07
14,1cb2230bb1bfb9b2544dab798dffeedce64ad39f,8.449576961367603e-07
15,044f5131450f38cdfbab63d6999b60e7e3bbabe5,8.449576961367603e-07
16,dc089026b4ad0d2d9ea992c7f1b9b5e716dd82cd,8.449576961367603e-07
17,53adf81bc503d749b13160a27e49160c5bbe48d7,8.449576961367603e-07
18,49e00940a82f9590d774539cd188b634c29fc39f,8.449576961367603e-07
19,7b9b41a4c7dbd7b719d62f343f57f841f5809693,8.449576961367603e-07
20,ae88e02a48c4744afd22c63be388870037f3c84c,8.449576961367603e-07
21,0aeab48b9e914d1dc7041b7e3f3b7e575ffcbbed,8.449576961367603e-07
22,c18b3f59b5f5752ab038224fd3bdf2dadba55ecf,8.449576961367603e-07
23,a5e5e51187d4476841503ce816924ea99936dba0,8.449576961367603e-07
24,b69cf68a24cffea0a884a102da1797755de8f022,8.449576961367603e-07
25,ee3e17a7c3e3efdeafe907b394de56aed01a70e0,8.449576961367603e-07
26,c71ce0e6dbd9ec67b3ac7fb5ac3eb609f8a56829,8.449576961367603e-07
27,0ce156413feb21a4f2a8eae3b1cd954d04240edd,8.449576961367603e-07
28,7e3fd81c039b0e22715c4e6eb63439bdf5a620bf,8.449576961367603e-07
29,a6b4b2bdd6baf2afde27284097426e93912452e9,8.449576961367603e-07
30,c8a5ff07e5bda47eab870671634b107da5ab7934,8.449576961367603e-07
31,fafd123410f1ad5c47341c66d8ea4cf541165e77,8.449576961367603e-07
32,9765987c2ade250c82bfeaba49d1f9301211d63a,8.449576961367603e-07
33,dbf37449935bced333a3999afa860aaf304ab1a1,8.449576961367603e-07
34,5e84ac2bf2085d438da2d0dae5d370c4389bbdca,8.449576961367603e-07
35,c70bff83e452c9b76b7f5de2e6811b800d4f72cf,8.449576961367603e-07
36,b4fd7a79bc55f17f301d219492528e6f5f40c6f0,8.449576961367603e-07
37,0311c93c8c43cd913303c529673d69575901475e,8.449576961367603e-07
38,adf50b93d76fa55d03ccbc4910602cda23b32c7d,8.449576961367603e-07
39,64619c55896dad1927afe78c0702a58abf0d038f,8.449576961367603e-07
40,eaa59b4f04a0c75091e332afa95a304eddcd93ab,8.449576961367603e-07
41,2810becf98e20bfe2bf99311c5f4f3e150d12d09,8.449576961367603e-07
42,d34b9ead10e28e3a0a62d642a16efdae2030ed76,8.449576961367603e-07
