,hash,"array_size-200,percent_nans-0","array_size-200,percent_nans-0.1","array_size-200,percent_nans-2.0","array_size-200,percent_nans-50.0","array_size-200,percent_nans-90.0","array_size-200000,percent_nans-0","array_size-200000,percent_nans-0.1","array_size-200000,percent_nans-2.0","array_size-200000,percent_nans-50.0","array_size-200000,percent_nans-90.0"
0,3d0c041ca162d69cc5bbb4d9d051eca7933f12bd,0.00010878675533129591,0.00010862006259534004,0.00010870477080970886,0.0001112450658443517,0.00010964058961498698,0.0013677122515218798,0.0013766471893177368,0.0016019542131938838,0.004030905833739477,0.002837241750967223
1,ce140e8d5c28f1f057db1102cf78263e48f86d61,0.00011083216128510333,0.0001122394890414428,0.00011129719431563799,0.00011354010980090147,0.00011181970866356087,0.0013665855640283553,0.001373370248984429,0.0015993800001784361,0.004019446666158426,0.002832022750226315
2,c18ab2c3975c8fa8b59724fe6855c528d72fef8c,0.00010764343073304267,0.00010737721045428006,0.00010764803806998079,0.00011031757520702017,0.00010855115954442187,0.0013674216879735468,0.0013811471235385397,0.0016090137859074666,0.00404175283620134,0.002771808871329995
3,3d2205dfd1d28fb8106e60223cf7207a3c05dbab,0.00011249786172250404,0.00010957112643058951,0.00010986831575313485,0.00011187507237385338,0.00011084530437390482,0.0013229534379206598,0.0013321278765943134,0.001556393355713226,0.003978815662170139,0.0027804304991150275
4,c3fd79150bc183e8852f1330ea6e8cb4ca7ce7bc,0.00010855002213194144,0.00010791294556364174,0.00010760587634473678,0.00010978421283033775,0.0001079675206823332,0.0013289909384184284,0.0013366858729568776,0.0015621482847823895,0.004010562333860435,0.002734664627496386
5,71555c48be7f07833bd540dacb50deb8069b551f,0.00015438252603416913,0.00015353155201106952,0.0001542641703247469,0.00015663094742003045,0.00015529096325687868,0.0016681832494214177,0.0017534000617160928,0.0020049573566731332,0.004974180832505226,0.00327545349864522
6,5324067c702a41e901354a01a5f0d05ff49b6cb4,0.00011389689870555414,0.00011378533141080129,0.00011400446629941756,0.00011690816854445912,0.00011528174994358172,0.0013112853121128865,0.00132109106380085,0.0015517047161535758,0.003983160670031793,0.0027174509996257257
7,20cb312563b2e7c0b180db8dffbcd71d7dfd0bee,0.00011652330662896433,0.00011649180685873779,0.00011637621504124453,0.00011955325299983515,0.00011709106233452489,0.0013348456886888016,0.001345590562777943,0.0015656178584322333,0.003992846827410782,0.002798620749672409
8,45ee22fa2fdd2bace756ed62685a346da91c4cb2,0.00011832379542201207,0.00011881495690128456,0.00011925285389735834,0.00012098882953895637,0.00011889686024377263,0.0013663445624843007,0.0013767296859441558,0.0016138714293317336,0.004165102834425246,0.002842624620825518
9,798aee26bdb9dcc0e806ca9271f0f98297188dec,0.00011972759651154818,0.00011938296170178596,0.0001193649535876872,0.00012175210126553706,0.00012210485275478705,0.0013148896268830867,0.00132372774896794,0.0015533092851650768,0.003982601333215522,0.0027199091236980166
10,1c50f244d4d1eba4f3f63e93a05a2b2f938685a4,0.00011814544301490639,0.00011832671178340474,0.0001186401195414162,0.00012119894124814036,0.00011970472157620614,0.001344554189927294,0.001352315186522901,0.0015836019260210118,0.004014398834745711,0.002749021125055151
11,fca7a15f30776ebce9e6814eb927e837f567a518,0.00012632656176315827,0.00012641236416702331,0.00012761009984387786,0.00012943209509978283,0.00012785901872121032,0.001378767561618588,0.0013920259989390615,0.0016279365705226415,0.004163565332419239,0.0029960981228214223
12,26311ed7bf80e02c827189e80084602d72e4f284,0.0001255544743915566,0.00012524232497526102,0.00012575285636557966,0.00012868834146945852,0.00012744188466175005,0.0013677932511200197,0.001376301252093981,0.0015909513562551833,0.004174922335854111,0.0028870828755316325
13,b5e01bcb668da0413170a886c258e00d2540e752,0.00011766621512008918,0.00011782282946275218,0.00011847197247034573,0.00012044093367525837,0.0001194738586063442,0.0013379316878854297,0.0013521268119802698,0.0015770334991559918,0.004004136329361549,0.0028041048753948417
14,ab30683fe1277a7fd471be63975a02ed8d766f94,0.00011976436938063918,0.00012004325016764492,0.00012004163065946406,0.00012354595887967767,0.00012116877785754494,0.0013863533749827184,0.0013988473747303942,0.00160223785704667,0.004110790333167339,0.0028816009980801027
15,3c89e2f913406f55b6e998017c1149e3ba383bcc,0.00011721878962072714,0.00011802614540630562,0.00011716353525544572,0.00012016374710262478,0.00011808043589468959,0.0013873536845494527,0.0013983361859573051,0.0016312979984961981,0.004164717000094242,0.002916181751061231
16,590f07121dc55e6d9d9ce514887c9bbc253fb266,0.0001957453571882873,0.00018533782124341953,0.00019310653004206223,0.00019838756230051839,0.00019080994010437278,0.001947972715632724,0.001963219212484546,0.0022355500817260085,0.005642846333406245,0.003893340122886002
17,872372bd56ccb5fe98faae8be7d14e4a8c69e037,0.00016384168240677802,0.0001663285236190859,0.0001687621824824,0.00016656392765599453,0.00016981038694915873,0.001463216563934111,0.0014908863140590256,0.001699184998869896,0.004315855500559944,0.0029284582487889566
18,70a84c3192b4f231925e8e36f50d6a26bff3b46d,0.0001620598626437177,0.0001617877496755682,0.0001626330519381251,0.00016560560188550805,0.00016392211219514434,0.0017037944999174215,0.0017198367495439015,0.0019887161994120105,0.004968365748936776,0.00344363933254499
19,9d416356baf4a653b2c647a921ae24ba7d39e8df,0.00014150278472628157,0.00014322342427807268,0.0001449303939201248,0.00014636622720652008,0.00013612999247192447,0.0015647454295373922,0.0015610403560068725,0.0019505478339851834,0.0047035521614210065,0.0031786887520866003
