,hash,"n-1,mode-block","n-1,mode-copy","n-10,mode-block","n-10,mode-copy","n-100,mode-block","n-100,mode-copy"
0,03164d2d819f9b38e1c684d6d9e128f11867dc3c,,4.1936963111504746e-05,,0.0006652259164386325,,
1,60df9b1eb6375e3decf12ba7506404c46af0469a,,4.235278042456643e-05,,0.0006668130970663495,,
2,772c80b1ce1db7e30497fcf555ac9af56b0d7fce,,4.3185003636072774e-05,,0.0006685734842903912,,
3,66d357ae3aedcd324a1c607e037adc65d3ae1c02,,4.269600062551655e-05,,0.0006646384426858276,,
4,cec39effb1739ae0a7690e56d58d3e9432569d5f,,4.2988941023461664e-05,,0.0006635635218117386,,
5,8ae543cb13769a0afa6e176898824db7fd992d27,,4.299662198669226e-05,,0.0006624436937272549,,
6,c890b10a8ade5df19f97b02a2b10a75f9f6075e9,,4.4891002015715625e-05,,0.0006746625682959955,,
7,c9a83043c0669fd17306843eb21abd236b675537,,4.2629564694803336e-05,,0.0006660926155745983,,
8,4d87d909bab7a7dd4bb570444cf35d98d551668f,,4.3399060568011614e-05,,0.0006542934279423207,,
9,a280f5e5d725de732a906b67172114b263ac3bfa,,4.2312432457384895e-05,,0.0006599209445994347,,
10,c303c9b77afbc7fe6f4049683c3ccaabdebe7be3,,4.253790932981407e-05,,0.000659275014186278,,
11,fdfc4807cbe2de71f74053c45ae0de383332c4e1,,4.489847356680689e-05,,0.0006641805068486268,,
12,537d35c2cf49cae0a496c37564fa282ec80e3695,,4.3953596373122046e-05,,0.0006607345098422633,,
13,1b6831be8dc33308e77f3d3253f5ee777e3bb178,,4.4267019445476264e-05,,0.0006648918788414448,,
14,7ef145115fede2c20df2cfc51ed28fcc9742b696,,4.39704125446658e-05,,0.000670652196276933,,
15,175476fec763984573e60485a447978cbcb381c0,,4.3519930343846884e-05,,0.0006696890211767621,,
16,c3c2b689cd4e1ccc24b18e764f105ed0e400ae92,,4.633522640245083e-05,,0.0006661255029030144,,
17,93240e0d8ea23644a5b7874037e658c54966ff54,,4.5295373032179974e-05,,0.0006714640702638361,,
18,e1f191c46f2eebd6cb892a4bfe14d9dd43a06c4e,,4.488086012338311e-05,,0.000674525663877527,,
19,8eedd3e911b7e3f5f35961871ddb8ee1559d4225,,4.458635347922152e-05,,0.0006723159458488226,,
20,ade91ea2f28284668fbf78971538ac4827d653b8,,4.332094360142946e-05,,0.0006635607278440148,,
21,b0a6e5583f2952a040c45d0d50f5e93372dc175b,,4.701130500618826e-05,,0.0006765432772226632,,
22,94b36b557ce7d88bbfe4091c59aa376764b7047d,,4.607409562579808e-05,,0.000667283748043701,,
23,ce6d3ffc991c63c1a91fd806b4eb3d0008caace2,,4.545901609763939e-05,,0.0006702322571072727,,
24,aab7993af0f6f3b9ac0d76952933b19163d65496,,4.6828778684459015e-05,,0.0006616898172069341,,
25,b94c2b01ff7ef5b8dc44726512cfa232e9054882,,4.6997551922186763e-05,,0.0006674957112409174,,
26,f737b354e6ab2aef8b4c05bca0011de46a4b53b0,,4.475996056609308e-05,,0.0006685983907017442,,
