,hash,ndim-0,ndim-1,ndim-2
0,86fcce61c9cddbc354ba67b2f818670f5822c688,5.0309411663975975e-05,6.305531802019854e-05,7.602528555037307e-05
1,90177d698c61b9550e1e3033dd041e91f8e3c6c4,5.0004319795830683e-05,6.271690257232298e-05,7.407949464458997e-05
2,18a6e3e505ee416ddfc617f3e9afdff5a031c2c2,5.5028473713783304e-05,6.98041881267459e-05,8.247870456186995e-05
3,c43b2bfb15281e170cc5006829ebc559bd1915e3,5.483508681007965e-05,6.959535430665988e-05,8.044085568851894e-05
4,58da484abf6f466a9e8bf55c188cb5b501d31ceb,5.46012788709968e-05,7.034716226400868e-05,8.150179342213851e-05
