,hash,default
0,03164d2d819f9b38e1c684d6d9e128f11867dc3c,4.663468397310199e-06
1,60df9b1eb6375e3decf12ba7506404c46af0469a,4.663468397310199e-06
2,772c80b1ce1db7e30497fcf555ac9af56b0d7fce,4.663468397310199e-06
3,66d357ae3aedcd324a1c607e037adc65d3ae1c02,4.663468397310199e-06
4,cec39effb1739ae0a7690e56d58d3e9432569d5f,4.663468397310199e-06
5,8ae543cb13769a0afa6e176898824db7fd992d27,4.663468397310199e-06
6,c890b10a8ade5df19f97b02a2b10a75f9f6075e9,4.663468397310199e-06
7,c9a83043c0669fd17306843eb21abd236b675537,4.663468397310199e-06
8,4d87d909bab7a7dd4bb570444cf35d98d551668f,4.663468397310199e-06
9,a280f5e5d725de732a906b67172114b263ac3bfa,4.663468397310199e-06
10,c303c9b77afbc7fe6f4049683c3ccaabdebe7be3,4.663468397310199e-06
11,fdfc4807cbe2de71f74053c45ae0de383332c4e1,4.663468397310199e-06
12,537d35c2cf49cae0a496c37564fa282ec80e3695,4.663468397310199e-06
13,1b6831be8dc33308e77f3d3253f5ee777e3bb178,4.663468397310199e-06
14,7ef145115fede2c20df2cfc51ed28fcc9742b696,4.663468397310199e-06
15,175476fec763984573e60485a447978cbcb381c0,4.663468397310199e-06
16,c3c2b689cd4e1ccc24b18e764f105ed0e400ae92,4.663468397310199e-06
17,93240e0d8ea23644a5b7874037e658c54966ff54,4.663468397310199e-06
18,e1f191c46f2eebd6cb892a4bfe14d9dd43a06c4e,4.663468397310199e-06
19,8eedd3e911b7e3f5f35961871ddb8ee1559d4225,4.663468397310199e-06
20,ade91ea2f28284668fbf78971538ac4827d653b8,4.663468397310199e-06
21,b0a6e5583f2952a040c45d0d50f5e93372dc175b,4.663468397310199e-06
22,94b36b557ce7d88bbfe4091c59aa376764b7047d,4.663468397310199e-06
23,ce6d3ffc991c63c1a91fd806b4eb3d0008caace2,4.663468397310199e-06
24,aab7993af0f6f3b9ac0d76952933b19163d65496,4.663468397310199e-06
25,b94c2b01ff7ef5b8dc44726512cfa232e9054882,4.663468397310199e-06
26,f737b354e6ab2aef8b4c05bca0011de46a4b53b0,4.663468397310199e-06
27,bbd5a7750fbed42a4aaf12f196282a9504a1e865,4.663468397310199e-06
28,66f1b8a5411e8265ed87ff7bf97c67960af2624d,4.663468397310199e-06
29,d9347181d825d9426e783cfeafee304735bd25aa,4.663468397310199e-06
30,fc159a547f091d1d6f75db470a0b8e9b2e7acea6,4.663468397310199e-06
31,857125603f3cf72e2078ed2effd0f6ce40f0ca28,4.663468397310199e-06
32,847119387dedec1ce7a85c1c0f29bcf86bc0348d,4.663468397310199e-06
33,deb4be85025088553d80d6637dbc17d7f8101f41,4.663468397310199e-06
34,0c06b0b8593d947c5d63b72b6d84ecf83ae5da5b,4.663468397310199e-06
35,c003e6ef6e421d23b5bf98f01df20f1350f61ea1,4.663468397310199e-06
36,a0c5f64f4f1a7f6ee80dc9b95aa813df28a87d72,4.663468397310199e-06
37,c53c89f0d8572086dd13cbe1c3c98a4e73b41d09,4.663468397310199e-06
38,767744c86e1e4a27bf77f90a85f17e564c9b94ea,4.663468397310199e-06
39,e657629bbc2bfb880a1b2fa24a39c5921c1f965e,4.663468397310199e-06
40,3d0c041ca162d69cc5bbb4d9d051eca7933f12bd,4.663468397310199e-06
41,ce140e8d5c28f1f057db1102cf78263e48f86d61,4.663468397310199e-06
42,c18ab2c3975c8fa8b59724fe6855c528d72fef8c,4.663468397310199e-06
43,3d2205dfd1d28fb8106e60223cf7207a3c05dbab,4.663468397310199e-06
44,c3fd79150bc183e8852f1330ea6e8cb4ca7ce7bc,4.663468397310199e-06
45,71555c48be7f07833bd540dacb50deb8069b551f,4.663468397310199e-06
46,5324067c702a41e901354a01a5f0d05ff49b6cb4,4.663468397310199e-06
47,20cb312563b2e7c0b180db8dffbcd71d7dfd0bee,4.663468397310199e-06
48,45ee22fa2fdd2bace756ed62685a346da91c4cb2,4.663468397310199e-06
49,798aee26bdb9dcc0e806ca9271f0f98297188dec,4.663468397310199e-06
50,1c50f244d4d1eba4f3f63e93a05a2b2f938685a4,4.663468397310199e-06
51,fca7a15f30776ebce9e6814eb927e837f567a518,4.663468397310199e-06
52,26311ed7bf80e02c827189e80084602d72e4f284,4.663468397310199e-06
53,b5e01bcb668da0413170a886c258e00d2540e752,4.663468397310199e-06
54,ab30683fe1277a7fd471be63975a02ed8d766f94,4.663468397310199e-06
55,3c89e2f913406f55b6e998017c1149e3ba383bcc,4.663468397310199e-06
56,590f07121dc55e6d9d9ce514887c9bbc253fb266,4.663468397310199e-06
57,872372bd56ccb5fe98faae8be7d14e4a8c69e037,4.663468397310199e-06
