,hash,"op-svd,type-int16","op-svd,type-float16","op-svd,type-int32","op-svd,type-float32","op-svd,type-int64","op-svd,type-float64","op-svd,type-complex64","op-svd,type-longfloat","op-svd,type-complex128","op-svd,type-complex256","op-pinv,type-int16","op-pinv,type-float16","op-pinv,type-int32","op-pinv,type-float32","op-pinv,type-int64","op-pinv,type-float64","op-pinv,type-complex64","op-pinv,type-longfloat","op-pinv,type-complex128","op-pinv,type-complex256","op-det,type-int16","op-det,type-float16","op-det,type-int32","op-det,type-float32","op-det,type-int64","op-det,type-float64","op-det,type-complex64","op-det,type-longfloat","op-det,type-complex128","op-det,type-complex256","op-norm,type-int16","op-norm,type-float16","op-norm,type-int32","op-norm,type-float32","op-norm,type-int64","op-norm,type-float64","op-norm,type-complex64","op-norm,type-longfloat","op-norm,type-complex128","op-norm,type-complex256"
0,3d0c041ca162d69cc5bbb4d9d051eca7933f12bd,0.004629728670503633,,0.004623947335251918,0.004651023496990092,0.00463285166673207,0.004629616999106171,0.008763174249907024,,0.008701566250238102,,0.004921445336852534,,0.004931612498088119,0.004839185668970458,0.004926442333574718,0.004928223502550585,0.009274554504372645,,0.009854368247033563,,0.0002470242499319803,,0.00019723493798145294,0.00019630457258740946,0.00019643680901605296,0.0001845550177038827,0.0005433060264055568,,0.0005298650005562721,,2.5231870540557097e-05,0.0001239909825651625,2.6013215629282933e-05,1.868864175794782e-05,3.320287777746713e-05,2.7963707476167835e-05,3.9966271247721634e-05,5.014477186881366e-05,5.6093604686665126e-05,9.766284095927734e-05
1,ce140e8d5c28f1f057db1102cf78263e48f86d61,0.0046356220021455865,,0.004629219164295743,0.004654447999200784,0.0046353699969283,0.0046279276672673095,0.008742356752918568,,0.008706678003363777,,0.004917724999055887,,0.00491552233385543,0.004842988831417946,0.004922425330732949,0.004925881832605228,0.009281772749091033,,0.00966027125105029,,0.00019318067877195842,,0.00019317126784049572,0.00019521288387685284,0.0001974018089557913,0.00018524379315906493,0.0005463810260775254,,0.0005311360261035397,,2.5431160333084118e-05,0.00012379003051248173,2.5753048213524186e-05,1.836218397214215e-05,3.2745840893987795e-05,2.7621245428411578e-05,3.97028222020405e-05,4.9681541659757155e-05,5.5508320488465517e-05,9.751611436340248e-05
2,c18ab2c3975c8fa8b59724fe6855c528d72fef8c,0.004624106664171753,,0.004618675501357454,0.0046528810004626085,0.0046281453348152955,0.004622160830573799,0.008755803246458527,,0.008696153003256768,,0.004912293331775193,,0.004912547000761454,0.004836708331519428,0.004924193834691929,0.004909823328489438,0.009273458003008272,,0.009923053992679343,,0.00019662370531088006,,0.00019696667836147493,0.0001953593301498946,0.00019828411300209755,0.00018513209491582782,0.0005440633157329438,,0.0005273784496239387,,2.487668244374645e-05,0.00012333880675379822,2.5963279803299374e-05,1.755557048460544e-05,3.300484936714739e-05,2.749160338838125e-05,3.897379170613957e-05,4.995502558601804e-05,5.512262563197276e-05,9.809574548853561e-05
3,3d2205dfd1d28fb8106e60223cf7207a3c05dbab,0.004614363327467194,,0.004622802497275794,0.004647800330227861,0.004627698993620774,0.004621132665003339,0.0087437117472291,,0.008687904250109568,,0.004884689837732973,,0.004884706164981859,0.004839901501933733,0.004889853662461974,0.004877664667825835,0.009277985256630927,,0.009640288502851035,,0.00019256663641003386,,0.0001929946873653015,0.00019546808193395422,0.00019775669074574993,0.00018325850877603042,0.0005444881060516069,,0.0005252441500488204,,2.501468898885897e-05,0.00012296277632498564,2.5764801426685936e-05,1.7829877104898695e-05,3.331149093844728e-05,2.6772711578503214e-05,3.847094622188611e-05,4.8974740903676405e-05,5.4912909879781225e-05,9.624667264605789e-05
4,c3fd79150bc183e8852f1330ea6e8cb4ca7ce7bc,0.004613124003905492,,0.0046097293331210185,0.004652323332265951,0.004614635996404104,0.004607548165949993,0.00872600699949544,,0.00866763624799205,,0.004913616828465213,,0.0049198626657016575,0.004840105335460976,0.004924204336324086,0.004906230834118711,0.009267973255191464,,0.009644512749218848,,0.0001922548929412317,,0.00019281875442671168,0.0001953486425918527,0.00019691290931818497,0.00018399914652350005,0.0005454242636915296,,0.0005251835245871916,,2.5440122604217882e-05,0.00012269251717291561,2.6121424026296513e-05,1.724814154013486e-05,3.3207352508889126e-05,2.7220040419247153e-05,3.89074316673758e-05,4.963138472548502e-05,5.467254023509914e-05,9.729021826801313e-05
5,71555c48be7f07833bd540dacb50deb8069b551f,0.004618515168355467,,0.0046211271643793825,0.004670207670036083,0.0054318961677684765,0.004816707170296771,0.010079210245748982,,0.009131195001828019,,0.005028508996474557,,0.005031850664333129,0.004971753495434919,0.005149794170089687,0.005113614834651041,0.009693488253105897,,0.012727957495371811,,0.00026614502660647437,,0.00026879926813957615,0.0002693713392675688,0.0002721293453677473,0.00025663143079045453,0.0005670182895540309,,0.0005294674996740038,,2.470495571281396e-05,0.0001232127441082496,2.6509996325979896e-05,1.8536919830286683e-05,3.30095370619897e-05,2.780598320502586e-05,3.9091193869261176e-05,4.9523942436473574e-05,5.5362301022146963e-05,9.774491579868074e-05
6,5324067c702a41e901354a01a5f0d05ff49b6cb4,0.004627029329033879,,0.00462461633530135,0.004649225501149583,0.004633185167525275,0.0046315321669681,0.008738891257962678,,0.008718890749150887,,0.004866144493765509,,0.004873330666062733,0.0047898029976446805,0.00487704483869796,0.0048717928293626755,0.0095189895000658,,0.009878059492621105,,0.00019649596418145978,,0.0001972850090429087,0.00020287244511895221,0.00020253852734723212,0.00018848422417971146,0.0005583517631748691,,0.0005455353162496497,,2.5414859036648318e-05,0.00012633284933988499,2.6392213566182758e-05,1.7573762223760047e-05,3.3617799994177545e-05,2.803975064668429e-05,4.0376110071031406e-05,5.110928032081574e-05,5.666641498971059e-05,0.00011308771758599
7,20cb312563b2e7c0b180db8dffbcd71d7dfd0bee,0.004601684161267864,,0.004590259666050164,0.004620552164851688,0.004596865503117442,0.0046010868342515705,0.008724118997633923,,0.008666383255331311,,0.004924498168596377,,0.004917734666378237,0.004838048330081316,0.004919646501851579,0.004915142499764139,0.00928695900074672,,0.009636407499783672,,0.00019264929453908863,,0.00019381429462685319,0.00019582766372795132,0.0001976242270426486,0.00018544830176136297,0.0005452509480834889,,0.0005317517115097297,,2.510223204730096e-05,0.00012415526832294902,2.6564187822291227e-05,1.8442989297546516e-05,3.346201700889966e-05,2.822210716124299e-05,3.991692801215772e-05,5.0570650196726055e-05,5.570873327087611e-05,9.833007615747018e-05
8,45ee22fa2fdd2bace756ed62685a346da91c4cb2,0.00458171833694602,,0.004595680666776994,0.004625978331508426,0.004592174334296336,0.004584439166743929,0.008741817757254466,,0.008709876747161616,,0.004918264001995945,,0.00491457482955108,0.004848494839582902,0.004916784998689158,0.004923360669636168,0.009354776004329324,,0.009675461995357182,,0.00019317317240744492,,0.00019321737265933983,0.00019587367265061896,0.00019829815428238363,0.0001855098274642263,0.0005444244735898744,,0.0005303471583542169,,2.5577196617976955e-05,0.0001228932035087911,2.5845832928231487e-05,1.766177685579735e-05,3.379563881232688e-05,2.7775548805200175e-05,3.8952001794815004e-05,4.9542449064406186e-05,5.5228187165294704e-05,9.828036915941738e-05
9,798aee26bdb9dcc0e806ca9271f0f98297188dec,0.004641665669623762,,0.004700076334605304,0.0046553671660755445,0.0046365020001151915,0.004630606999853626,0.008768570245592855,,0.008712844006367959,,0.004921500833006576,,0.0049189093260793015,0.004842993167888684,0.004921416499807189,0.004923491001439591,0.009285760745115113,,0.009670366249338258,,0.00019336051757688565,,0.00019346721846059983,0.00019572108472205418,0.00019809209096076136,0.00018260453437286397,0.000543989869153225,,0.0005254345989669674,,2.5508380986138945e-05,0.0001245327034984109,2.7038994846510287e-05,1.8716508966593546e-05,3.429736255648763e-05,2.7908705809831836e-05,4.72315627376195e-05,5.977827857436967e-05,5.7222122374393315e-05,0.00010218684419326237
10,1c50f244d4d1eba4f3f63e93a05a2b2f938685a4,0.0046342798304976895,,0.004627478832844645,0.0046572338275533785,0.0046350609967097025,0.004637749336931544,0.00877671199850738,,0.008715256757568568,,0.004929134336028559,,0.004919258499285206,0.0048606560012558475,0.004919828997420458,0.004919720333418809,0.009297548502217978,,0.009671091749623884,,0.00019144510718303666,,0.00019207230356447065,0.00019428138197823003,0.00019605244557500224,0.00018422132467221992,0.000543794868127933,,0.0005304243685187478,,2.506402128923191e-05,0.00012411862198225503,2.6379132113005553e-05,1.822442683233381e-05,3.3161116541117614e-05,2.7860719624354885e-05,3.984553901068382e-05,4.975606763571195e-05,5.6707381506720066e-05,9.772004083391617e-05
11,fca7a15f30776ebce9e6814eb927e837f567a518,0.00463572183313469,,0.0046250088344095275,0.00466143133235164,0.004646193333125363,0.004631555503389488,0.008761199504078832,,0.00872259075549664,,0.00492253532866016,,0.004925112337029228,0.004850626830981733,0.004930865334851357,0.004921621332565943,0.009307050495408475,,0.009683361247880384,,0.00019194170558226427,,0.00019254596450731957,0.0001945445268834841,0.0001976352074086877,0.00018392527573300396,0.0005435539741914621,,0.000528516657619835,,2.5995858197218867e-05,0.00012422757555573616,2.6818700728589912e-05,1.8906753609210776e-05,3.401767197406145e-05,2.816719759103721e-05,3.9913992518230196e-05,5.0466459830410186e-05,5.618990621769626e-05,9.82242870830103e-05
