,hash,"a_masked-True,b_masked-True,size-10","a_masked-True,b_masked-True,size-100","a_masked-True,b_masked-True,size-1000","a_masked-True,b_masked-False,size-10","a_masked-True,b_masked-False,size-100","a_masked-True,b_masked-False,size-1000","a_masked-False,b_masked-True,size-10","a_masked-False,b_masked-True,size-100","a_masked-False,b_masked-True,size-1000","a_masked-False,b_masked-False,size-10","a_masked-False,b_masked-False,size-100","a_masked-False,b_masked-False,size-1000"
0,03164d2d819f9b38e1c684d6d9e128f11867dc3c,9.915576979088096e-05,9.94351665632656e-05,9.932599585646621e-05,0.00015925180733851764,0.00015820795332715994,0.00016024394768892843,0.00015955074559315108,0.00015985576828825288,0.00015914294382800227,0.00012709708585415357,0.0001293866487685591,0.00012860130906725925
1,60df9b1eb6375e3decf12ba7506404c46af0469a,9.870834959050019e-05,9.890211346958366e-05,9.870303439952078e-05,0.0001625697642787179,0.00016165631313924678,0.0001610568387136943,0.00016058834444265813,0.0001622481025098001,0.0001631793490941486,0.00012923790782224387,0.00012795182151926888,0.0001279656629776582
2,772c80b1ce1db7e30497fcf555ac9af56b0d7fce,9.860086609565078e-05,9.962511520145587e-05,9.903430831260406e-05,0.00015947382053127512,0.00015793696237618432,0.00015968992032439392,0.00016365663724995794,0.00016133846449000496,0.00016071867670804736,0.0001301250620921956,0.00012899042728046578,0.00012904966351048774
3,66d357ae3aedcd324a1c607e037adc65d3ae1c02,9.871375931532316e-05,9.752578429273658e-05,9.772757494769921e-05,0.00015243061010123174,0.000155490220469587,0.0001565699896483279,0.00015777100206297985,0.00015323111951789437,0.0001531517514700277,0.0001253719646029356,0.00012563688899664316,0.00012559901799512915
4,cec39effb1739ae0a7690e56d58d3e9432569d5f,0.00010127424919868216,0.0001010936164993395,0.00010139463035371696,0.00015751618210837912,0.0001609288527211849,0.0001600244710140902,0.00016224063989339453,0.00016344016458948743,0.0001613644158674611,0.0001311693901577628,0.0001295500941857507,0.00013207574374973774
5,8ae543cb13769a0afa6e176898824db7fd992d27,9.902118210185756e-05,9.998028376596231e-05,9.940587691604518e-05,0.00016027878668597518,0.0001598478302184958,0.0001600091514326092,0.00015897301120170647,0.0001599748908175212,0.0001585536663407001,0.00013012533582011123,0.0001284736586967483,0.00012907150048243848
6,c890b10a8ade5df19f97b02a2b10a75f9f6075e9,9.952950327155681e-05,0.00010028623298487881,0.00010076690386137311,0.0001610916684756973,0.00015914973927967584,0.0001585326072844592,0.00015889009051589352,0.00015870967934675077,0.0001624536851201864,0.00012686270672608823,0.00012710242946114804,0.00012808585468726823
7,c9a83043c0669fd17306843eb21abd236b675537,0.00010021620599383658,9.952101606392749e-05,9.953206216988081e-05,0.00015600953801450405,0.00015731757182789886,0.00015535318542883467,0.0001576256911283818,0.00015821633518070858,0.00016087414041976444,0.0001276979250285555,0.00012719827936962246,0.000127728859661147
8,4d87d909bab7a7dd4bb570444cf35d98d551668f,0.00010228784577477546,0.00010171106687801725,0.00010155893871289434,0.00016153539763763547,0.00016183302264719728,0.00016021168630686589,0.00016157690697582439,0.00016497468589735565,0.00016334658074710105,0.0001310781002617799,0.000130628260584282,0.0001311559637542814
9,a280f5e5d725de732a906b67172114b263ac3bfa,9.815782223912802e-05,9.688372923949054e-05,9.736486397265832e-05,0.00015772499277123386,0.00016029938877395848,0.00015875746134612988,0.00015964568945381677,0.00015640525675531642,0.00015813316713320091,0.00012637087904916305,0.0001256672392894582,0.00012749698829411723
10,c303c9b77afbc7fe6f4049683c3ccaabdebe7be3,9.740642521397343e-05,9.730316565505096e-05,9.775818720951957e-05,0.0001559396580195249,0.0001545500517614297,0.00015525804536247796,0.0001549540420195886,0.00015597966318922255,0.00015441857477916138,0.0001257177669728218,0.00012611282069147344,0.00012622992564901347
11,fdfc4807cbe2de71f74053c45ae0de383332c4e1,9.716985198869328e-05,9.762585189228304e-05,9.753029617304737e-05,0.00015381238356764826,0.00015450205208490723,0.00015589359271175722,0.00015440144673434654,0.00015323818337896632,0.00015332766890744954,0.00012616048248984465,0.000125408754684031,0.00012515879395168
12,537d35c2cf49cae0a496c37564fa282ec80e3695,9.72285260499086e-05,9.763065882159018e-05,9.737949695367858e-05,0.00015638216582098693,0.00015524904702560625,0.0001574864745083632,0.0001556613515796406,0.00015689550426357718,0.0001563738697945182,0.00012701240346013078,0.00012707634738123999,0.00012662436210495584
13,1b6831be8dc33308e77f3d3253f5ee777e3bb178,9.828542341601174e-05,9.853620012508375e-05,9.83072699592361e-05,0.00015965386086867916,0.0001581379580797989,0.00015767200384289026,0.00015972333494573832,0.0001564536518840627,0.00016041022414962452,0.0001260620827617293,0.00012681849028279142,0.00012614773038555595
14,7ef145115fede2c20df2cfc51ed28fcc9742b696,9.838215164130641e-05,9.742635508290434e-05,9.776252313112876e-05,0.00016004377154304702,0.0001544218524289665,0.00015681615766527049,0.00015985789341908514,0.00015826325740336497,0.00015829553277316418,0.00012589348206186994,0.00012769704443161135,0.00012898988788947462
15,175476fec763984573e60485a447978cbcb381c0,9.797602667406733e-05,9.844873898795673e-05,9.846427427554453e-05,0.00015595652486967003,0.00015681716815932936,0.00015699786599725484,0.0001581374689880194,0.00015648404686627063,0.00015546121479322514,0.00012543143295660252,0.00012559589657296495,0.00012607449600689634
16,c3c2b689cd4e1ccc24b18e764f105ed0e400ae92,9.895133081118802e-05,9.960297140337172e-05,0.00010120263969939615,0.00015667332127801517,0.0001613309954307855,0.00016369576802227034,0.00016168219735845923,0.00015866475046745368,0.0001581395926857085,0.00012816483132451414,0.00012904077331409041,0.00012965362984687092
17,93240e0d8ea23644a5b7874037e658c54966ff54,9.9934171885252e-05,9.957016132270487e-05,0.0001001432694745465,0.00016364678893177235,0.00015964787588387296,0.00016087769264621396,0.00016160787798572278,0.00016499892808496952,0.00016337395497849062,0.00013190962048808494,0.00012878408597316593,0.00013027939712628722
18,e1f191c46f2eebd6cb892a4bfe14d9dd43a06c4e,9.911166688532762e-05,9.884336251624913e-05,9.901409794110805e-05,0.00015873955340967293,0.00016216739701728028,0.00016160933966083185,0.0001598079825806267,0.00015985799836926162,0.0001631284257702863,0.00012946768020767542,0.00012923788461016445,0.00012693822061941949
19,8eedd3e911b7e3f5f35961871ddb8ee1559d4225,9.796048610288406e-05,9.697952038167339e-05,9.73959610075037e-05,0.00015739558941938662,0.00015729210172682554,0.00015801866191314228,0.0001589006969879847,0.0001566978670390589,0.00015920735270118536,0.00012692726801994235,0.00012578937386013107,0.00012549690407827313
20,ade91ea2f28284668fbf78971538ac4827d653b8,9.650021582563348e-05,9.644593582183958e-05,9.759523139866156e-05,0.00015578405852888672,0.0001584257133248629,0.00015939200512956882,0.00015750164831323285,0.00015841338180882088,0.00015803140852211126,0.00012635395907592483,0.0001252258605346447,0.00012530412854308762
21,b0a6e5583f2952a040c45d0d50f5e93372dc175b,9.892606668962308e-05,9.881994864415554e-05,9.853058893765722e-05,0.0001556481301252331,0.0001543954860838786,0.00015557575414874663,0.00015706917144019496,0.0001554604686264481,0.00015505039399223668,0.00012541123189378615,0.00012743554820883132,0.00012637340628048955
22,94b36b557ce7d88bbfe4091c59aa376764b7047d,0.00010036839208064172,9.992122861810705e-05,0.00010169922256643332,0.0001579141547984403,0.0001608343627594877,0.00015869945513479638,0.0001578939221529425,0.00016030675623619902,0.0001579794081170922,0.00012917463656192944,0.00012941691481197876,0.00012972572031209157
23,ce6d3ffc991c63c1a91fd806b4eb3d0008caace2,9.842240708131416e-05,9.79588275738791e-05,9.858313327034315e-05,0.0001568049192428589,0.00015576956017563742,0.0001570650638313964,0.00015774845837079215,0.00016144627443281934,0.00016048622218835533,0.00012813940666979407,0.00012826907177326046,0.00012711023934829384
24,aab7993af0f6f3b9ac0d76952933b19163d65496,0.00010063446153743335,9.909874407222142e-05,0.00010011476036664601,0.00015859655437192748,0.00016160054656211287,0.00015867534903404504,0.0001588755280174541,0.00015845323534871358,0.00015803916859581614,0.00012840988126265097,0.00012919541573288236,0.00013025551503877852
25,b94c2b01ff7ef5b8dc44726512cfa232e9054882,9.956285850001642e-05,9.894111592854773e-05,9.912393662094507e-05,0.0001550810308853055,0.00015321516034686388,0.0001542173054958902,0.00015599988817946236,0.0001580732624366212,0.0001564260273337809,0.00012846369036408357,0.0001259479393455677,0.00012739298485771374
26,f737b354e6ab2aef8b4c05bca0011de46a4b53b0,9.85822594624811e-05,9.876986122911885e-05,9.8900113887382e-05,0.00015433947555720806,0.00015596868681975386,0.00015604702727586934,0.0001575616154107539,0.00015553905229483332,0.00015824828157896427,0.00012616805996699834,0.00012547390936159118,0.00012574628869324556
27,bbd5a7750fbed42a4aaf12f196282a9504a1e865,0.00010039369141664899,0.00010029778618795367,9.989183185235509e-05,0.0001637030969749191,0.00016116622753222198,0.0001604242279427126,0.0001625448049074321,0.0001625844927889014,0.00016282941953885176,0.000128585250220365,0.00012871446031852658,0.00012767666051987297
28,66f1b8a5411e8265ed87ff7bf97c67960af2624d,9.72315276697002e-05,9.742449900066412e-05,9.742293170549803e-05,0.0001599527331012668,0.00016076447191967893,0.00015606024701680455,0.0001589074845601251,0.00015609808710973655,0.0001579267563604152,0.00012716653487499218,0.00012764507597993785,0.00012758944505526695
29,d9347181d825d9426e783cfeafee304735bd25aa,0.00010009501832273772,0.00010014514749248822,9.887618944048882e-05,0.0001629716316529084,0.00016142662570928223,0.0001611821454666231,0.00015703304809754464,0.00016368718456421323,0.0001659459701520117,0.0001328256737906486,0.00012948420358660783,0.00013018032477702947
30,fc159a547f091d1d6f75db470a0b8e9b2e7acea6,0.00010024922839538367,0.0001008357503451407,9.987269116279023e-05,0.00015741028619231656,0.00015724086640120456,0.00015764041870300257,0.00015774878920638002,0.00016024885901614374,0.00015747959833538187,0.00012841209320834388,0.0001272016443403029,0.00012747771380578772
31,857125603f3cf72e2078ed2effd0f6ce40f0ca28,9.976976462418126e-05,0.00010085090896329627,9.983461350202561e-05,0.0001610641607619596,0.00016559696652823023,0.0001621049243223035,0.0001630369122953169,0.00016096123980115289,0.0001607616177352611,0.0001284799331592189,0.00012988174897561104,0.0001292926306494429
32,847119387dedec1ce7a85c1c0f29bcf86bc0348d,0.00010049078040398084,0.00010013624252575748,9.989659967167037e-05,0.00015807843230890506,0.00015887383864644696,0.00016084563962760425,0.00015649509926637012,0.000162481108418433,0.00015792070365877765,0.00012839677823116866,0.0001303756703870206,0.00013199321360194257
33,deb4be85025088553d80d6637dbc17d7f8101f41,0.0001023615737563198,0.00010215626685943418,0.00010187249377514552,0.00016356845299014822,0.00016382818648708053,0.0001615256960712262,0.00016568055272930197,0.0001686536854813023,0.00016468585553494367,0.00013150732265785337,0.00013225787341684462,0.00013536564074456692
