,hash,"array_size-200,percent_nans-0","array_size-200,percent_nans-0.1","array_size-200,percent_nans-2.0","array_size-200,percent_nans-50.0","array_size-200,percent_nans-90.0","array_size-200000,percent_nans-0","array_size-200000,percent_nans-0.1","array_size-200000,percent_nans-2.0","array_size-200000,percent_nans-50.0","array_size-200000,percent_nans-90.0"
0,3d0c041ca162d69cc5bbb4d9d051eca7933f12bd,1.407154193598657e-05,1.3848542750914402e-05,1.4232556507352382e-05,1.9992849617943898e-05,2.5133679456474792e-05,0.00023485854351589376,0.0002476408214230711,0.0005044637046839026,0.006702425496769138,0.011222882501897402
1,ce140e8d5c28f1f057db1102cf78263e48f86d61,1.459870316784431e-05,1.4625081038812515e-05,1.4719109386950208e-05,2.0780031210525037e-05,2.5795917071473712e-05,0.00023481998948188013,0.00024780151163992874,0.00048603584119436243,0.006545668504259083,0.010971990996040404
2,c18ab2c3975c8fa8b59724fe6855c528d72fef8c,1.377620709864723e-05,1.3878795587581812e-05,1.4071219213368657e-05,1.9841916525924425e-05,2.490093983295891e-05,0.00023491282595584735,0.00024827344300733375,0.00048710745481499043,0.00654610300261993,0.010983736501657404
3,3d2205dfd1d28fb8106e60223cf7207a3c05dbab,1.407514331492506e-05,1.405546193822257e-05,1.4326438339104732e-05,2.029979764293717e-05,2.527937210479015e-05,0.00023452894579943108,0.00024701615885450417,0.000485646568201694,0.006551026999659371,0.010966203990392387
4,c3fd79150bc183e8852f1330ea6e8cb4ca7ce7bc,1.3147240082539923e-05,1.3276569326212701e-05,1.3529927352651584e-05,1.928320470788226e-05,2.4305142059097157e-05,0.00023437840212389585,0.0002469825856501191,0.00048508127259662035,0.00654382849461399,0.010958863000269048
5,71555c48be7f07833bd540dacb50deb8069b551f,1.3524390437015067e-05,1.3517294253991471e-05,1.3841536900552309e-05,1.9536686921406462e-05,2.4609020362003405e-05,0.0002344280326961661,0.00024744609531591696,0.00048510763669831,0.006550596750457771,0.010969777504215017
6,5324067c702a41e901354a01a5f0d05ff49b6cb4,1.3766468708946977e-05,1.3757947840086746e-05,1.4166572098746946e-05,2.007926888390497e-05,2.506012237384258e-05,0.00024023425033771093,0.0002576506220332415,0.00050530272492324,0.006930960000318009,0.010999505000654608
7,20cb312563b2e7c0b180db8dffbcd71d7dfd0bee,1.397543287327464e-05,1.4048181067655324e-05,1.4189548078751582e-05,2.005708861293327e-05,2.4961285221665588e-05,0.00023536217391349214,0.00024737640904442577,0.0004825757278013043,0.006556482752785087,0.01095987600274384
8,45ee22fa2fdd2bace756ed62685a346da91c4cb2,1.3832812492182711e-05,1.3742014930535156e-05,1.3972889182638306e-05,1.9834968515792786e-05,2.481096576193356e-05,0.00023528954372285744,0.0002477121022159488,0.00048484559043903243,0.006569331504579168,0.01098851699498482
9,798aee26bdb9dcc0e806ca9271f0f98297188dec,1.4199117488148205e-05,1.4302940750591613e-05,1.4345111789309286e-05,2.0241789289968787e-05,2.518699769753703e-05,0.00023542727770594257,0.0002491533093797486,0.0004979763180017471,0.006541357492096722,0.010913370497291908
10,1c50f244d4d1eba4f3f63e93a05a2b2f938685a4,1.4252672282559075e-05,1.4124137596245277e-05,1.433013302212426e-05,2.0113804797366474e-05,2.5418943281423436e-05,0.00023559631113635583,0.0002492150593925977,0.0004983574081879024,0.0065461697449791245,0.010900581502937712
11,fca7a15f30776ebce9e6814eb927e837f567a518,1.652893961057642e-05,1.6432754861250775e-05,1.657279759835357e-05,2.247910695594679e-05,2.7680758147309054e-05,0.00023644531567064723,0.00024921407946914604,0.0004992178635968064,0.006598587002372369,0.010909848497249186
12,26311ed7bf80e02c827189e80084602d72e4f284,1.5356380856444225e-05,1.5513202219452607e-05,2.1873798186720944e-05,3.0087708179454496e-05,3.6604644937593365e-05,0.00024382106824883852,0.0002560508657508053,0.0005103370494907722,0.00671571050042985,0.011117690490209498
13,b5e01bcb668da0413170a886c258e00d2540e752,1.429735926447464e-05,1.432117457717549e-05,1.4461676393170541e-05,2.023849144439348e-05,2.531471967502473e-05,0.00023593980427983257,0.0002485945343241011,0.0004982190452706577,0.006567368996911682,0.011172881000675261
14,ab30683fe1277a7fd471be63975a02ed8d766f94,1.4099532816537502e-05,1.4095363011446552e-05,1.4603115487966125e-05,2.0231204215077266e-05,2.5408533432634657e-05,0.00023710310905817494,0.0002500202619038256,0.0005033430451558988,0.00657660325668985,0.010979338985634968
15,3c89e2f913406f55b6e998017c1149e3ba383bcc,1.4360102539021427e-05,1.4526028172198443e-05,1.5068076868528868e-05,2.050768794456067e-05,2.5352481601408263e-05,0.00023923497653976526,0.00025497428027958404,0.0005187476504943334,0.006762848497601226,0.011176745989359915
16,590f07121dc55e6d9d9ce514887c9bbc253fb266,1.497806207036109e-05,1.4900349029988721e-05,1.4921140648636668e-05,2.1296776121671136e-05,3.1840006566943787e-05,0.0002456713068981612,0.00026522048756305594,0.0005066860496299342,0.006854097751784138,0.012822173492168076
17,872372bd56ccb5fe98faae8be7d14e4a8c69e037,1.999119555919579e-05,1.998676528380095e-05,2.0221718713714738e-05,2.615566666722793e-05,3.129779129201357e-05,0.00025380456810870043,0.00026228628050331483,0.0005181602762604598,0.0067178282552049495,0.01115031450171955
18,70a84c3192b4f231925e8e36f50d6a26bff3b46d,1.4219458794936406e-05,1.4251842274449317e-05,1.4293589176943626e-05,1.5041738660599748e-05,1.435308719649581e-05,0.0005239481320849766,0.0005243690791662391,0.0005280247890990914,0.0012072172766137454,0.0005423887364725631
