,hash,param1-10,param1-100,param1-1000,param1-10000,param1-100000,param1-1000000,param1-10000000,param1-100000000
0,03164d2d819f9b38e1c684d6d9e128f11867dc3c,2.91492440120196e-05,3.147890620311955e-05,4.363416074364282e-05,0.00013549275987315924,0.0009102136682486162,0.015372060996014625,0.16653284900530707,1.7510528870043345
1,60df9b1eb6375e3decf12ba7506404c46af0469a,2.842930690718867e-05,3.028479552438566e-05,4.2450791481040906e-05,0.00013466488877541304,0.0009048915017046966,0.015118557479581796,0.1673751294874819,1.7594682669878239
2,772c80b1ce1db7e30497fcf555ac9af56b0d7fce,2.8466760294320877e-05,3.056231144407254e-05,4.2885726543318015e-05,0.00013536965245914805,0.0009124199156455385,0.015239880493027158,0.16658288048347458,1.7573144954949385
3,66d357ae3aedcd324a1c607e037adc65d3ae1c02,2.8839560550248694e-05,3.0283377722358577e-05,4.343229806041703e-05,0.00013663047461186925,0.0009547577501507476,0.015839305517147295,0.17448969300312456,1.7530085380130913
4,cec39effb1739ae0a7690e56d58d3e9432569d5f,2.9824397801700723e-05,3.2617138916310044e-05,4.4623961387300575e-05,0.0001365798085361696,0.0009140415835039069,0.015344191997428425,0.16599429649068043,1.7651746365008876
5,8ae543cb13769a0afa6e176898824db7fd992d27,2.860457145346565e-05,3.1027903987262284e-05,4.4493336674584556e-05,0.00013632888285540918,0.0009143550826896292,0.015151336003327742,0.16695472800347488,1.7491457130090566
6,c890b10a8ade5df19f97b02a2b10a75f9f6075e9,2.9651072154252385e-05,3.1378442410764216e-05,4.347921177909216e-05,0.00013246069993329003,0.0008800338328001089,0.014807180006755516,0.15973156450490933,1.6828191590029746
7,c9a83043c0669fd17306843eb21abd236b675537,2.930175066351981e-05,3.13276400473634e-05,4.355671078510897e-05,0.00013256067088549594,0.0008745327480331373,0.014792008994845673,0.16006201898562722,1.6781142204999924
8,4d87d909bab7a7dd4bb570444cf35d98d551668f,2.8901866144009346e-05,3.085859595536699e-05,4.3275903138744354e-05,0.00013221597534684857,0.0008781249174110901,0.014876368499244563,0.16158338799141347,1.6815144634892931
9,a280f5e5d725de732a906b67172114b263ac3bfa,2.7458277760859052e-05,2.9373062349638512e-05,4.131863855544045e-05,0.00012993542693992622,0.0008772953321264747,0.014923291993909515,0.15984002099139616,1.6867813325079624
10,c303c9b77afbc7fe6f4049683c3ccaabdebe7be3,2.805776421155315e-05,3.0249844470138973e-05,4.203396502579653e-05,0.0001308093095368739,0.0008764850014510254,0.014889856502122711,0.15991530099563533,1.6807372449984541
