,hash,usecols-2,"usecols-[1, 3]","usecols-[1, 3, 5, 7]"
0,3d0c041ca162d69cc5bbb4d9d051eca7933f12bd,0.02620928500255104,0.038762092488468625,0.04474986750574317
1,ce140e8d5c28f1f057db1102cf78263e48f86d61,0.020836568510276265,0.03339499549474567,0.03760509150743019
2,c18ab2c3975c8fa8b59724fe6855c528d72fef8c,0.021000849505071528,0.032555726007558405,0.037280861506587826
3,3d2205dfd1d28fb8106e60223cf7207a3c05dbab,0.02079893948393874,0.03274872951442376,0.037686638519517146
4,c3fd79150bc183e8852f1330ea6e8cb4ca7ce7bc,0.02076303248759359,0.03211648100113962,0.03676440399431158
5,71555c48be7f07833bd540dacb50deb8069b551f,0.02052500301215332,0.032407924489234574,0.037447464012075216
6,5324067c702a41e901354a01a5f0d05ff49b6cb4,0.02051923848921433,0.03244020551210269,0.03667367600428406
7,20cb312563b2e7c0b180db8dffbcd71d7dfd0bee,0.020485847519012168,0.03194697300205007,0.03680127300322056
8,45ee22fa2fdd2bace756ed62685a346da91c4cb2,0.020936301501933485,0.032142031006515026,0.03644214900850784
9,798aee26bdb9dcc0e806ca9271f0f98297188dec,0.020849514010478742,0.032548751987633295,0.037302701486623846
10,1c50f244d4d1eba4f3f63e93a05a2b2f938685a4,0.02071888498903718,0.032429525002953596,0.03690102601831313
11,fca7a15f30776ebce9e6814eb927e837f567a518,0.0215772559895413,0.03285048600810114,0.037036515001091175
12,26311ed7bf80e02c827189e80084602d72e4f284,0.033659956010524184,0.037353235005866736,0.03775212899199687
13,b5e01bcb668da0413170a886c258e00d2540e752,0.021056745492387563,0.03255446949333418,0.03743448748718947
14,ab30683fe1277a7fd471be63975a02ed8d766f94,0.021843316484591924,0.033241502998862416,0.037896664507570677
15,3c89e2f913406f55b6e998017c1149e3ba383bcc,0.020634656990296207,0.033107541006756946,0.03783076301624533
16,590f07121dc55e6d9d9ce514887c9bbc253fb266,0.03185977500106674,0.04216680349782109,0.04781270801322535
17,872372bd56ccb5fe98faae8be7d14e4a8c69e037,0.025136431504506618,0.04232562749530189,0.044888643504236825
18,70a84c3192b4f231925e8e36f50d6a26bff3b46d,0.025055414502276108,0.04030593800416682,0.04544326399627607
19,9d416356baf4a653b2c647a921ae24ba7d39e8df,0.025886551491566934,0.041144154500216246,0.045986174503923394
20,09dd75e9e2139bc9742e6009b7babe41d4c002df,0.035956976484158076,0.040926237488747574,0.0457380450097844
21,85d64e375f53f6028519d3aaad0b421934dcbe24,0.024542044498957694,0.039156111000920646,0.043725396011723205
22,09e04dcbe3d0c836437b2d4745b353b256ec6265,0.025567139498889446,0.04113512650656048,0.04550356901017949
23,cdd7ab252988ff4254705e0a89874edeb5cea8eb,0.024632827495224774,0.03926531750767026,0.04365619600866921
24,06da877ceae914a875bd1a55cd8e271332358803,0.024799377992167138,0.040282939007738605,0.045134580999729224
25,8529dfaaec65248420faffe095bac03c23881735,0.024708080498385243,0.039030007013934664,0.04428945449762978
26,171a3e5811e43643788c20075be9ba52efb83b81,0.024811240495182574,0.03972161700949073,0.04443642350088339
27,5bf9ab98edd254dee1162d6f1863053e040cf828,0.031989006005460396,0.04466506402241066,0.046819434995995834
28,9776a73cee9eaaff6af40e971fa2bb7f8f1086c5,0.025193355002556928,0.04243862051225733,0.047751578502357006
29,37a1ad069a800f5ef98286f25fb3fb632375168d,0.025004161507240497,0.042929874995024875,0.047597760989447124
30,1cb2230bb1bfb9b2544dab798dffeedce64ad39f,0.024550908492528833,0.04257916448113974,0.0473018374905223
31,044f5131450f38cdfbab63d6999b60e7e3bbabe5,0.024918043010984547,0.04280036651471164,0.047516567501588725
32,dc089026b4ad0d2d9ea992c7f1b9b5e716dd82cd,0.02520708501106128,0.044137207500170916,0.0492937570088543
33,53adf81bc503d749b13160a27e49160c5bbe48d7,0.024449339995044284,0.042579562999890186,0.04791035449306946
34,49e00940a82f9590d774539cd188b634c29fc39f,0.025223960503353737,0.04375074550625868,0.04892104450846091
35,7b9b41a4c7dbd7b719d62f343f57f841f5809693,0.02509603151702322,0.04326888799550943,0.047833976976107806
36,ae88e02a48c4744afd22c63be388870037f3c84c,0.02457976550795138,0.04403415850538295,0.04857752998941578
