,hash,dtype-<class 'numpy.float32'>,dtype-<class 'numpy.float64'>
0,03164d2d819f9b38e1c684d6d9e128f11867dc3c,0.00021529933903366327,0.000729205136719559
1,60df9b1eb6375e3decf12ba7506404c46af0469a,0.00021455268261536044,0.0007265102883268679
2,772c80b1ce1db7e30497fcf555ac9af56b0d7fce,0.0002146487133767532,0.0007261573170710887
3,66d357ae3aedcd324a1c607e037adc65d3ae1c02,0.00021604496985673906,0.0007265152775549463
4,cec39effb1739ae0a7690e56d58d3e9432569d5f,0.0002175982167222062,0.0007317577588504978
5,8ae543cb13769a0afa6e176898824db7fd992d27,0.00021781548760676134,0.0007301476019035492
6,c890b10a8ade5df19f97b02a2b10a75f9f6075e9,0.00021737723193150394,0.0007304658980241843
7,c9a83043c0669fd17306843eb21abd236b675537,0.00021689147494422895,0.0007352661341428757
8,4d87d909bab7a7dd4bb570444cf35d98d551668f,0.00021682222544842835,0.0007291734551212617
9,a280f5e5d725de732a906b67172114b263ac3bfa,0.00021399582270532848,0.0007266744172998837
10,c303c9b77afbc7fe6f4049683c3ccaabdebe7be3,0.00021404897328466176,0.0007247103577745813
11,fdfc4807cbe2de71f74053c45ae0de383332c4e1,0.0002143773529678583,0.0007277372392958828
12,537d35c2cf49cae0a496c37564fa282ec80e3695,0.00021612229376879273,0.0007246274534346803
13,1b6831be8dc33308e77f3d3253f5ee777e3bb178,0.000215913699939847,0.0007279234871800457
14,7ef145115fede2c20df2cfc51ed28fcc9742b696,0.00021611211821436882,0.0007295731588133744
15,175476fec763984573e60485a447978cbcb381c0,0.00021463581741008224,0.0007241468577246581
16,c3c2b689cd4e1ccc24b18e764f105ed0e400ae92,0.00021461074772690026,0.0007244190367470894
17,93240e0d8ea23644a5b7874037e658c54966ff54,0.00021411010482329495,0.0007263466749074204
18,e1f191c46f2eebd6cb892a4bfe14d9dd43a06c4e,0.00021431949084662661,0.0007278931859348501
19,8eedd3e911b7e3f5f35961871ddb8ee1559d4225,0.0002144636415249231,0.0007270018603386624
20,ade91ea2f28284668fbf78971538ac4827d653b8,0.0002150591652916402,0.0007254889434469597
