,hash,type-int8,type-int16,type-float32,type-float64,type-complex64,type-complex128
0,03164d2d819f9b38e1c684d6d9e128f11867dc3c,9.750783170933243e-06,9.844122277255256e-06,9.92018283834545e-06,1.025792359009842e-05,1.0221260564040656e-05,2.2224306076687158e-05
1,60df9b1eb6375e3decf12ba7506404c46af0469a,9.733992235386345e-06,9.837646820497783e-06,9.791317279450595e-06,1.01722868976348e-05,1.0106447422938164e-05,2.2113651496997914e-05
2,772c80b1ce1db7e30497fcf555ac9af56b0d7fce,9.791900004281408e-06,9.883069988890467e-06,9.916795694433439e-06,1.0163672060544613e-05,1.019645652413326e-05,2.2068232076118783e-05
3,66d357ae3aedcd324a1c607e037adc65d3ae1c02,9.711296813541346e-06,9.729321807919238e-06,9.820525803225552e-06,1.012536832264369e-05,1.0047497724096071e-05,2.2162282286635733e-05
4,cec39effb1739ae0a7690e56d58d3e9432569d5f,9.990764410326159e-06,1.0027962057234913e-05,1.0092766050873068e-05,1.0396588778512849e-05,1.0418775754723487e-05,2.248018370850871e-05
5,8ae543cb13769a0afa6e176898824db7fd992d27,9.959918976097402e-06,9.979850464415821e-06,1.0102855577303857e-05,1.043148820929862e-05,1.036533098477123e-05,2.231941218555266e-05
6,c890b10a8ade5df19f97b02a2b10a75f9f6075e9,9.910392442518639e-06,9.892625464338131e-06,9.99154494639462e-06,1.023458937749707e-05,1.0346096899135436e-05,2.2293176197617143e-05
7,c9a83043c0669fd17306843eb21abd236b675537,9.690175459211417e-06,9.817284868402727e-06,9.787526823029938e-06,1.0038108255190363e-05,9.949086019777878e-06,2.224210692926913e-05
8,4d87d909bab7a7dd4bb570444cf35d98d551668f,9.848651988474572e-06,1.0000174503833905e-05,1.0161171642843627e-05,1.020562251413317e-05,1.0413761598048353e-05,2.2322663142786998e-05
9,a280f5e5d725de732a906b67172114b263ac3bfa,9.684779784836973e-06,9.741502726683393e-06,9.804608641636812e-06,1.015560906896868e-05,1.0152376959130408e-05,2.1846853159663695e-05
10,c303c9b77afbc7fe6f4049683c3ccaabdebe7be3,9.734725621623872e-06,9.731793635926971e-06,9.866711817184379e-06,1.0045103741827133e-05,1.011509426422239e-05,2.2140585193965102e-05
11,fdfc4807cbe2de71f74053c45ae0de383332c4e1,9.792195981260323e-06,9.840348171895709e-06,9.782103674247041e-06,1.0054328995465767e-05,1.0031163845508591e-05,2.1952751005182944e-05
12,537d35c2cf49cae0a496c37564fa282ec80e3695,9.814044546642848e-06,9.917642270341854e-06,9.934896826796996e-06,1.032793720496335e-05,1.0229378487327915e-05,2.2399502260553698e-05
13,1b6831be8dc33308e77f3d3253f5ee777e3bb178,9.82953336952337e-06,9.876073176697403e-06,9.98101590746294e-06,1.023408724469457e-05,1.0122174719957891e-05,2.210020721042721e-05
