,hash,dtype-<class 'numpy.int8'>,dtype-<class 'numpy.uint8'>,dtype-<class 'numpy.int16'>,dtype-<class 'numpy.uint16'>,dtype-<class 'numpy.int32'>,dtype-<class 'numpy.uint32'>,dtype-<class 'numpy.int64'> (0),dtype-<class 'numpy.uint64'>,dtype-<class 'numpy.float32'>,dtype-<class 'numpy.float64'>,dtype-<class 'numpy.int64'> (1)
0,3d0c041ca162d69cc5bbb4d9d051eca7933f12bd,2.5909099306517123e-05,2.5965962707302355e-05,2.6887325723443858e-05,2.7041795150182535e-05,2.783663252954007e-05,2.7703944450150684e-05,3.0017767697453982e-05,3.0180308010487855e-05,1.52877080209282e-05,2.5470325755797823e-05,2.956405819594922e-05
1,ce140e8d5c28f1f057db1102cf78263e48f86d61,2.5974309530630265e-05,2.590558093894894e-05,2.6440777490541686e-05,2.6189013499556585e-05,2.7011019992642107e-05,2.7212534987484105e-05,2.9501461540348828e-05,2.991465768196954e-05,1.5037064484463666e-05,2.964252446897738e-05,2.9677632414245023e-05
2,c18ab2c3975c8fa8b59724fe6855c528d72fef8c,2.6153659416814808e-05,2.619662072236945e-05,2.636920872796553e-05,2.6378160136783707e-05,2.7150701280334035e-05,2.725246624322608e-05,2.933934149218769e-05,2.9622091662733714e-05,1.5462149721990606e-05,2.5631972563037367e-05,2.9245842477842553e-05
3,3d2205dfd1d28fb8106e60223cf7207a3c05dbab,2.59108249641334e-05,2.586562644022057e-05,2.6360051327870026e-05,2.609658615468115e-05,2.7502841507519437e-05,2.7427945976922446e-05,2.948162094276819e-05,2.9841739759204415e-05,1.527341867638373e-05,2.602918449112968e-05,2.9049563834079258e-05
4,c3fd79150bc183e8852f1330ea6e8cb4ca7ce7bc,2.5591046965950314e-05,2.548062061673942e-05,2.599062916151826e-05,2.6357137652368235e-05,2.7019660969594175e-05,2.7014288698902e-05,2.9264696282692828e-05,2.9539943293061374e-05,1.481900619167819e-05,2.4959554612842322e-05,2.8974228866876315e-05
5,71555c48be7f07833bd540dacb50deb8069b551f,3.753926350393224e-05,3.7935499982561736e-05,4.9106647064003304e-05,3.888011722026292e-05,3.810824536129884e-05,3.8324424317704705e-05,2.9911167960538454e-05,2.9196108314661412e-05,1.4707583455667001e-05,2.5426916240682002e-05,2.925544362329714e-05
6,5324067c702a41e901354a01a5f0d05ff49b6cb4,2.6755586813063023e-05,2.7139835918168187e-05,2.7897001259867577e-05,2.778865816754679e-05,2.854130569017877e-05,2.8956254738360402e-05,3.159535121778303e-05,3.1564184051155506e-05,1.6898280770804447e-05,2.7677314701669752e-05,3.174737425791045e-05
7,20cb312563b2e7c0b180db8dffbcd71d7dfd0bee,2.701994016571458e-05,2.7124759429122696e-05,2.7483867744385015e-05,2.7511762197735145e-05,2.8527349174495727e-05,2.86804688264689e-05,3.15245351538368e-05,3.1249358166638965e-05,1.6877943479229667e-05,2.754655227419084e-05,3.121643402453927e-05
8,45ee22fa2fdd2bace756ed62685a346da91c4cb2,2.714890821879642e-05,2.70934200634102e-05,2.7917373104335334e-05,2.7777699981995214e-05,2.902449055159379e-05,2.8634942679976424e-05,3.142297803696615e-05,3.163100428409597e-05,1.721415664397233e-05,2.7689298451517154e-05,3.160633575536722e-05
9,798aee26bdb9dcc0e806ca9271f0f98297188dec,2.7691506413527977e-05,2.7581334135754092e-05,2.7869456279472207e-05,2.788083714316895e-05,2.925960026993126e-05,2.8901752581239643e-05,3.201088269276659e-05,3.206378994020496e-05,1.2557433494764895e-05,1.8888768558382212e-05,3.202475821112853e-05
10,1c50f244d4d1eba4f3f63e93a05a2b2f938685a4,2.726570918249698e-05,2.761033462726632e-05,2.7746853697689548e-05,2.7998955007570683e-05,2.9285059614626937e-05,2.8845028068377252e-05,3.173496368744541e-05,3.185431727062508e-05,1.1900741534106086e-05,1.868231504898812e-05,3.169163193723017e-05
