,hash,skiprows-0,skiprows-500,skiprows-10000
0,03164d2d819f9b38e1c684d6d9e128f11867dc3c,7.423386897426099,7.397394261788577,6.693448584526777
1,60df9b1eb6375e3decf12ba7506404c46af0469a,7.476527351187542,7.4168184055015445,6.740425042109564
2,772c80b1ce1db7e30497fcf555ac9af56b0d7fce,7.467860983451828,7.4182372346986085,6.725423325318843
3,66d357ae3aedcd324a1c607e037adc65d3ae1c02,7.31656258367002,7.251209798036143,6.58980838698335
4,cec39effb1739ae0a7690e56d58d3e9432569d5f,7.400488409213722,7.327006571693346,6.6722453609108925
5,8ae543cb13769a0afa6e176898824db7fd992d27,7.29004500200972,7.2645541310776025,6.581147414399311
6,c890b10a8ade5df19f97b02a2b10a75f9f6075e9,7.361846752930433,7.311808250378817,6.622011688537896
7,c9a83043c0669fd17306843eb21abd236b675537,7.294661828549579,7.284538548439741,6.58465401106514
8,4d87d909bab7a7dd4bb570444cf35d98d551668f,7.338550649350509,7.335604709340259,6.618073311634362
9,a280f5e5d725de732a906b67172114b263ac3bfa,7.351798978401348,7.302997041027993,6.631085862638429
10,c303c9b77afbc7fe6f4049683c3ccaabdebe7be3,7.400241207098588,7.388549588620663,6.698472551302984
11,fdfc4807cbe2de71f74053c45ae0de383332c4e1,7.2697283399757,7.233220007503405,6.5404942273162305
12,537d35c2cf49cae0a496c37564fa282ec80e3695,7.21344742923975,7.179755239048973,6.509457567008212
13,1b6831be8dc33308e77f3d3253f5ee777e3bb178,7.248514480656013,7.195592579199001,6.543263713829219
14,7ef145115fede2c20df2cfc51ed28fcc9742b696,7.2930259122513235,7.220546323573217,6.563775287009776
15,175476fec763984573e60485a447978cbcb381c0,7.267928407527506,7.247782026650384,6.547057938762009
16,c3c2b689cd4e1ccc24b18e764f105ed0e400ae92,7.3575591489207,7.282005305867642,6.600400780327618
17,93240e0d8ea23644a5b7874037e658c54966ff54,7.286923848092556,7.2315567440818995,6.539419113658369
18,e1f191c46f2eebd6cb892a4bfe14d9dd43a06c4e,7.2624900178052485,7.224385095294565,6.552019497612491
19,8eedd3e911b7e3f5f35961871ddb8ee1559d4225,7.301820997381583,7.245004648342729,6.566434444393963
20,ade91ea2f28284668fbf78971538ac4827d653b8,7.355515633011237,7.301569470204413,6.613409584155306
21,b0a6e5583f2952a040c45d0d50f5e93372dc175b,7.362215506611392,7.274182219989598,6.573634858010337
22,94b36b557ce7d88bbfe4091c59aa376764b7047d,7.260361581342295,7.266402005916461,6.5586347409989685
23,ce6d3ffc991c63c1a91fd806b4eb3d0008caace2,7.208764935377985,7.133727396605536,6.483406208921224
24,aab7993af0f6f3b9ac0d76952933b19163d65496,7.278274823678657,7.245038960594684,6.613991759484634
25,b94c2b01ff7ef5b8dc44726512cfa232e9054882,7.314500530948862,7.292700927238911,6.635960781481117
26,f737b354e6ab2aef8b4c05bca0011de46a4b53b0,7.337117568124086,7.321890710154548,6.648216619854793
27,bbd5a7750fbed42a4aaf12f196282a9504a1e865,7.39934700820595,7.299343273974955,6.648053005570546
28,66f1b8a5411e8265ed87ff7bf97c67960af2624d,7.311358289560303,7.252346602967009,6.594302566489205
29,d9347181d825d9426e783cfeafee304735bd25aa,6.975014817202464,6.980785368476063,6.267902899766341
30,fc159a547f091d1d6f75db470a0b8e9b2e7acea6,6.840303986566141,6.818360006203875,6.169749354943633
31,857125603f3cf72e2078ed2effd0f6ce40f0ca28,7.07813282054849,7.071991369361058,6.390417075017467
32,847119387dedec1ce7a85c1c0f29bcf86bc0348d,6.949465739540756,6.915737246628851,6.302555211121216
33,deb4be85025088553d80d6637dbc17d7f8101f41,6.843459567986429,6.774599503958598,6.143644897500053
34,0c06b0b8593d947c5d63b72b6d84ecf83ae5da5b,6.969952788436785,6.97179688536562,6.268787163309753
35,c003e6ef6e421d23b5bf98f01df20f1350f61ea1,6.855438283411786,6.823109647259116,6.158335818443447
36,a0c5f64f4f1a7f6ee80dc9b95aa813df28a87d72,6.931248981505632,6.851964608998969,6.233257219195366
37,c53c89f0d8572086dd13cbe1c3c98a4e73b41d09,6.952362877083942,6.891086984425783,6.258455577306449
38,767744c86e1e4a27bf77f90a85f17e564c9b94ea,6.9552094086539,6.915739640826359,6.266878964146599
39,e657629bbc2bfb880a1b2fa24a39c5921c1f965e,6.840969998156652,6.85727687436156,6.272621207172051
40,3d0c041ca162d69cc5bbb4d9d051eca7933f12bd,6.879591757897288,6.860649476060644,6.216740486910567
41,ce140e8d5c28f1f057db1102cf78263e48f86d61,5.237651226809248,5.15025488846004,4.654779241420329
42,c18ab2c3975c8fa8b59724fe6855c528d72fef8c,5.292930180905387,5.2253273979295045,4.743274451000616
43,3d2205dfd1d28fb8106e60223cf7207a3c05dbab,5.300201263744384,5.2285751884337515,4.737459569470957
44,c3fd79150bc183e8852f1330ea6e8cb4ca7ce7bc,5.212434954941273,5.1500398041680455,4.64777324302122
