,hash,dtype-<class 'numpy.int8'>,dtype-<class 'numpy.uint8'>,dtype-<class 'numpy.int16'>,dtype-<class 'numpy.uint16'>,dtype-<class 'numpy.int32'>,dtype-<class 'numpy.uint32'>,dtype-<class 'numpy.int64'> (0),dtype-<class 'numpy.uint64'>,dtype-<class 'numpy.float32'>,dtype-<class 'numpy.float64'>,dtype-<class 'numpy.int64'> (1)
0,03164d2d819f9b38e1c684d6d9e128f11867dc3c,,,,,,,,,6.434715628115967e-05,9.440464517948303e-05,
1,60df9b1eb6375e3decf12ba7506404c46af0469a,,,,,,,,,6.166602898803023e-05,9.146531135970806e-05,
2,772c80b1ce1db7e30497fcf555ac9af56b0d7fce,,,,,,,,,6.052683380877842e-05,9.32411269538782e-05,
3,66d357ae3aedcd324a1c607e037adc65d3ae1c02,,,,,,,,,6.0597655956971116e-05,9.488849097798611e-05,
4,cec39effb1739ae0a7690e56d58d3e9432569d5f,,,,,,,,,6.25855689659045e-05,9.586426039409434e-05,
5,8ae543cb13769a0afa6e176898824db7fd992d27,,,,,,,,,6.364126327551074e-05,9.953384679333072e-05,
6,c890b10a8ade5df19f97b02a2b10a75f9f6075e9,,,,,,,,,6.198599079593284e-05,9.498453318056735e-05,
7,c9a83043c0669fd17306843eb21abd236b675537,,,,,,,,,6.148148877698867e-05,9.27274127323658e-05,
8,4d87d909bab7a7dd4bb570444cf35d98d551668f,,,,,,,,,6.271378147635567e-05,9.58159248429266e-05,
9,a280f5e5d725de732a906b67172114b263ac3bfa,,,,,,,,,5.859768038595116e-05,9.540330660952762e-05,
10,c303c9b77afbc7fe6f4049683c3ccaabdebe7be3,,,,,,,,,6.678908054406445e-05,0.00010426076746975572,
11,fdfc4807cbe2de71f74053c45ae0de383332c4e1,,,,,,,,,6.438271627265808e-05,0.00010173294161047254,
12,537d35c2cf49cae0a496c37564fa282ec80e3695,,,,,,,,,6.460826843976975e-05,0.00010089131254946517,
13,1b6831be8dc33308e77f3d3253f5ee777e3bb178,,,,,,,,,6.577278032810205e-05,0.00010132862343674613,
14,7ef145115fede2c20df2cfc51ed28fcc9742b696,,,,,,,,,6.585303076937156e-05,0.00010131123391064731,
15,175476fec763984573e60485a447978cbcb381c0,,,,,,,,,6.686560363469723e-05,0.00010065055560790797,
16,c3c2b689cd4e1ccc24b18e764f105ed0e400ae92,,,,,,,,,6.249502457333782e-05,0.00010067186283193669,
17,93240e0d8ea23644a5b7874037e658c54966ff54,,,,,,,,,6.618251544282292e-05,9.968750722085437e-05,
18,e1f191c46f2eebd6cb892a4bfe14d9dd43a06c4e,,,,,,,,,6.370092260426488e-05,9.732464556845855e-05,
19,8eedd3e911b7e3f5f35961871ddb8ee1559d4225,,,,,,,,,6.697970870535197e-05,0.00010381292158104095,
20,ade91ea2f28284668fbf78971538ac4827d653b8,,,,,,,,,6.511898589616811e-05,0.00010195820042016831,
21,b0a6e5583f2952a040c45d0d50f5e93372dc175b,,,,,,,,,6.260239852947652e-05,0.00010239084949716925,
22,94b36b557ce7d88bbfe4091c59aa376764b7047d,,,,,,,,,6.51383196615432e-05,0.00010304146184070596,
23,ce6d3ffc991c63c1a91fd806b4eb3d0008caace2,,,,,,,,,6.347458689794902e-05,9.512417882527272e-05,
24,aab7993af0f6f3b9ac0d76952933b19163d65496,,,,,,,,,6.533720131431307e-05,0.00010512668814044446,
25,b94c2b01ff7ef5b8dc44726512cfa232e9054882,,,,,,,,,6.493744942287128e-05,0.00010576717277917152,
26,f737b354e6ab2aef8b4c05bca0011de46a4b53b0,,,,,,,,,6.43366814300323e-05,0.00010091375725546686,
27,bbd5a7750fbed42a4aaf12f196282a9504a1e865,,,,,,,,,6.359015531532945e-05,9.906400693580509e-05,
28,66f1b8a5411e8265ed87ff7bf97c67960af2624d,,,,,,,,,6.482755321316248e-05,9.96707057507307e-05,
29,d9347181d825d9426e783cfeafee304735bd25aa,,,,,,,,,6.385962330516737e-05,0.00010148624313019571,
30,fc159a547f091d1d6f75db470a0b8e9b2e7acea6,,,,,,,,,6.707724739120615e-05,0.00010599491827822519,
31,857125603f3cf72e2078ed2effd0f6ce40f0ca28,,,,,,,,,8.048523886827752e-05,0.00012806508542470088,
32,847119387dedec1ce7a85c1c0f29bcf86bc0348d,,,,,,,,,6.979282302899828e-05,0.00010295924775808761,
