,hash,dtype-<class 'numpy.float32'>,dtype-<class 'numpy.float64'>,dtype-<class 'bool'>
0,03164d2d819f9b38e1c684d6d9e128f11867dc3c,0.0001415183524398181,,1.1596166678890767e-05
1,60df9b1eb6375e3decf12ba7506404c46af0469a,0.0001411452595456916,,1.1479150892943214e-05
2,772c80b1ce1db7e30497fcf555ac9af56b0d7fce,0.00014145024687411335,,1.1435750453859906e-05
3,66d357ae3aedcd324a1c607e037adc65d3ae1c02,0.0001412700962063331,,1.1614101344915503e-05
4,cec39effb1739ae0a7690e56d58d3e9432569d5f,0.00014133208863808524,,1.1635274845880092e-05
5,8ae543cb13769a0afa6e176898824db7fd992d27,0.00014134464546731567,,1.1613057776017662e-05
6,c890b10a8ade5df19f97b02a2b10a75f9f6075e9,0.0001413395316664224,,1.1543663190206557e-05
7,c9a83043c0669fd17306843eb21abd236b675537,0.00014227120964032774,,1.1565747453535081e-05
8,4d87d909bab7a7dd4bb570444cf35d98d551668f,0.0001414233101738169,,1.1481886937397777e-05
9,a280f5e5d725de732a906b67172114b263ac3bfa,0.00014132270891561256,,1.1478180612748164e-05
10,c303c9b77afbc7fe6f4049683c3ccaabdebe7be3,0.0001411911962580384,,1.1504349182838731e-05
11,fdfc4807cbe2de71f74053c45ae0de383332c4e1,0.0001412241455702453,,1.1617850522685711e-05
12,537d35c2cf49cae0a496c37564fa282ec80e3695,0.0001436069487214972,,1.305711256182894e-05
13,1b6831be8dc33308e77f3d3253f5ee777e3bb178,0.0001430404229792587,,1.3160697333290574e-05
14,7ef145115fede2c20df2cfc51ed28fcc9742b696,0.00014286690906397756,,1.3006924678633542e-05
15,175476fec763984573e60485a447978cbcb381c0,0.00014337896797000073,,1.320836655513238e-05
16,c3c2b689cd4e1ccc24b18e764f105ed0e400ae92,0.00014327208974953883,,1.2987015924289085e-05
17,93240e0d8ea23644a5b7874037e658c54966ff54,0.00014331662821813295,,1.3345675168988995e-05
18,e1f191c46f2eebd6cb892a4bfe14d9dd43a06c4e,0.0001434963076182892,,1.3113874716053797e-05
19,8eedd3e911b7e3f5f35961871ddb8ee1559d4225,0.00014354808449929627,,1.327278448962747e-05
20,ade91ea2f28284668fbf78971538ac4827d653b8,0.00014345816023892557,,1.3326258524484949e-05
21,b0a6e5583f2952a040c45d0d50f5e93372dc175b,0.00014380239101741702,,1.3121700471279256e-05
22,94b36b557ce7d88bbfe4091c59aa376764b7047d,0.0001447571923610014,,1.300918445976581e-05
