,hash,type-int8,type-int16,type-float32,type-float64,type-complex64,type-complex128
0,03164d2d819f9b38e1c684d6d9e128f11867dc3c,1.3283209975870795e-05,1.4024236581295424e-05,1.7018875968206657e-05,2.42937984267034e-05,2.4377617917959144e-05,4.510932893782564e-05
1,60df9b1eb6375e3decf12ba7506404c46af0469a,1.3254327483483101e-05,1.4067841657044541e-05,1.7010716102431213e-05,2.4458842667269657e-05,2.4548552120094106e-05,4.501394117241256e-05
2,772c80b1ce1db7e30497fcf555ac9af56b0d7fce,1.3158593296728422e-05,1.415794402548721e-05,1.702912500260892e-05,2.397226931544732e-05,2.4019631464295927e-05,4.483796860710971e-05
3,66d357ae3aedcd324a1c607e037adc65d3ae1c02,1.3295314784926197e-05,1.4096980015255185e-05,1.724162835657127e-05,2.4401102695691885e-05,2.4359883416095337e-05,4.489814376332409e-05
4,cec39effb1739ae0a7690e56d58d3e9432569d5f,1.327175942868026e-05,1.4177419714247881e-05,1.7255268685056256e-05,2.4741890356700313e-05,2.4406945596166665e-05,4.503120455846637e-05
5,8ae543cb13769a0afa6e176898824db7fd992d27,1.324698276785684e-05,1.4107682111164842e-05,1.7147851185726487e-05,2.413146541714793e-05,2.419034441218027e-05,4.488224177361535e-05
6,c890b10a8ade5df19f97b02a2b10a75f9f6075e9,1.32434986993206e-05,1.4278728976374485e-05,1.705423537014912e-05,2.420264255513821e-05,2.435750336969379e-05,4.485693388841738e-05
7,c9a83043c0669fd17306843eb21abd236b675537,1.315303419103033e-05,1.3969371645129139e-05,1.6934981659140908e-05,2.4119923616423845e-05,2.3943680694002552e-05,4.49638189019735e-05
8,4d87d909bab7a7dd4bb570444cf35d98d551668f,1.378071574251366e-05,1.4368798764714592e-05,1.717248701314832e-05,2.477997889361856e-05,2.478258372934232e-05,4.5914706182278074e-05
9,a280f5e5d725de732a906b67172114b263ac3bfa,1.3151434771915352e-05,1.3907809603359187e-05,1.6722589967508562e-05,2.3996761686558565e-05,2.419193542359673e-05,4.470065847391822e-05
10,c303c9b77afbc7fe6f4049683c3ccaabdebe7be3,1.3187020045791708e-05,1.3978721495110635e-05,1.680256531271116e-05,2.4254303494815036e-05,2.4220626666631126e-05,4.4851192135617815e-05
11,fdfc4807cbe2de71f74053c45ae0de383332c4e1,1.3198062582541418e-05,1.4154607471906206e-05,1.7544342099746135e-05,2.47201169975758e-05,2.3967156793284962e-05,4.486532024134813e-05
12,537d35c2cf49cae0a496c37564fa282ec80e3695,1.3191309398559434e-05,1.4166771857711968e-05,1.7037943757713946e-05,2.419370768300592e-05,2.4399108116159442e-05,4.4820539581754326e-05
13,1b6831be8dc33308e77f3d3253f5ee777e3bb178,1.3321571763556011e-05,1.4075248070663087e-05,1.7127942429577832e-05,2.4593007669624823e-05,2.451603930986458e-05,4.505672173406033e-05
14,7ef145115fede2c20df2cfc51ed28fcc9742b696,1.3124230315687629e-05,1.3946815470849435e-05,1.6842931141007068e-05,2.4482329621188187e-05,2.3932310651862138e-05,4.507438064104429e-05
15,175476fec763984573e60485a447978cbcb381c0,1.3283971583280946e-05,1.4167624024121705e-05,1.7053727413399996e-05,2.4534656745605428e-05,2.4688703099355126e-05,4.524396822720734e-05
16,c3c2b689cd4e1ccc24b18e764f105ed0e400ae92,1.3213746959285204e-05,1.407432935886098e-05,1.693338739656381e-05,2.448167897679091e-05,2.4121851646878685e-05,4.4875915298403876e-05
17,93240e0d8ea23644a5b7874037e658c54966ff54,1.3207903360061366e-05,1.3924819050187632e-05,1.6915428360090762e-05,2.418082700777242e-05,2.426191758886389e-05,4.460644446420694e-05
18,e1f191c46f2eebd6cb892a4bfe14d9dd43a06c4e,1.3826291216439292e-05,1.4461117190795292e-05,1.725530486379102e-05,2.5031146139883857e-05,2.4443738407041122e-05,4.618464459059953e-05
19,8eedd3e911b7e3f5f35961871ddb8ee1559d4225,1.35043096887343e-05,1.4256013460249876e-05,1.7090570300690225e-05,2.4536741571108486e-05,2.4274336239582284e-05,4.486168181155192e-05
20,ade91ea2f28284668fbf78971538ac4827d653b8,1.3360009091257147e-05,1.4225253407907663e-05,1.6905754564060948e-05,2.4347333708517128e-05,2.4632754895149037e-05,4.4823568744808046e-05
21,b0a6e5583f2952a040c45d0d50f5e93372dc175b,1.3352515100929458e-05,1.4119321473736467e-05,1.709128731493965e-05,2.4182460003751605e-05,2.417564045459953e-05,4.480863638243384e-05
22,94b36b557ce7d88bbfe4091c59aa376764b7047d,1.3427874665164077e-05,1.4160350399014029e-05,1.7169895398791395e-05,2.457769247018155e-05,2.451640246224573e-05,4.515123015214108e-05
23,ce6d3ffc991c63c1a91fd806b4eb3d0008caace2,1.339687714923839e-05,1.420378523506792e-05,1.7621808309433905e-05,2.4926816216950647e-05,2.476379014388765e-05,4.5281060665425024e-05
24,aab7993af0f6f3b9ac0d76952933b19163d65496,1.3222802950676045e-05,1.4238988320334126e-05,1.7337396623181577e-05,2.4338098895956077e-05,2.4780717208097602e-05,4.4970847092605436e-05
25,b94c2b01ff7ef5b8dc44726512cfa232e9054882,1.3416621818164872e-05,1.427270691848224e-05,1.7319844744541195e-05,2.4585440581833585e-05,2.439456125153519e-05,4.531835357095485e-05
26,f737b354e6ab2aef8b4c05bca0011de46a4b53b0,1.3222889692494363e-05,1.401938997484346e-05,1.6880784191525228e-05,2.3954850223225518e-05,2.4313631049938916e-05,4.5049183336232096e-05
27,bbd5a7750fbed42a4aaf12f196282a9504a1e865,1.332169323937477e-05,1.4254955767049022e-05,1.7012276120675392e-05,2.4391303643463052e-05,2.460752405288356e-05,4.5415250012107816e-05
28,66f1b8a5411e8265ed87ff7bf97c67960af2624d,1.3409675308072042e-05,1.416663987161835e-05,1.705345463313727e-05,2.46439502216243e-05,2.4519839412289156e-05,4.536362601447011e-05
29,d9347181d825d9426e783cfeafee304735bd25aa,1.3314813179875575e-05,1.4141968830546075e-05,1.712567405729139e-05,2.4368674160776596e-05,2.4434941463745996e-05,4.505397503938487e-05
30,fc159a547f091d1d6f75db470a0b8e9b2e7acea6,1.3320281564434966e-05,1.410714093051273e-05,1.7226991080735604e-05,2.485513749971605e-05,2.454083482865663e-05,4.5161659651026995e-05
31,857125603f3cf72e2078ed2effd0f6ce40f0ca28,1.3714174678785025e-05,1.457281071241576e-05,1.761122323375861e-05,2.5012753532894455e-05,2.4546004770943774e-05,4.5285069236775775e-05
32,847119387dedec1ce7a85c1c0f29bcf86bc0348d,1.3310786664739929e-05,1.420844522869905e-05,1.7468456965157835e-05,2.4636939910817003e-05,2.4619010560479048e-05,4.51416443671961e-05
33,deb4be85025088553d80d6637dbc17d7f8101f41,1.3232200480938511e-05,1.4362971769363065e-05,1.7150030036244464e-05,2.4364076326709383e-05,2.4335533028570033e-05,4.537174059029388e-05
34,0c06b0b8593d947c5d63b72b6d84ecf83ae5da5b,1.3497423193831062e-05,1.4380738490854826e-05,1.7155322295809935e-05,2.470099773403885e-05,2.473271331664713e-05,4.549671042089661e-05
35,c003e6ef6e421d23b5bf98f01df20f1350f61ea1,1.3299208285678534e-05,1.4260885069092325e-05,1.737788833755379e-05,2.4594121958885938e-05,2.4608608764452072e-05,4.503520625197174e-05
36,a0c5f64f4f1a7f6ee80dc9b95aa813df28a87d72,1.3390621373565993e-05,1.4033020144981694e-05,1.7090716293006483e-05,2.431510959937424e-05,2.4485804699127455e-05,4.486770777196071e-05
37,c53c89f0d8572086dd13cbe1c3c98a4e73b41d09,1.3203203169697168e-05,1.401988824044139e-05,1.691065581114746e-05,2.4525526982308312e-05,2.4342710989563223e-05,4.491579957250583e-05
38,767744c86e1e4a27bf77f90a85f17e564c9b94ea,1.3260822092575912e-05,1.4190361224572113e-05,1.7254875965201072e-05,2.463177323846628e-05,2.463049890808945e-05,4.534232026675123e-05
39,e657629bbc2bfb880a1b2fa24a39c5921c1f965e,1.3215472989676371e-05,1.4021460836349458e-05,1.7139541946043692e-05,2.4403979860701912e-05,2.392514124541385e-05,4.538450223414904e-05
40,3d0c041ca162d69cc5bbb4d9d051eca7933f12bd,1.3378832534135106e-05,1.417450764576851e-05,1.7252758820129904e-05,2.4618036139459027e-05,2.4467376111455712e-05,4.50708872410766e-05
41,ce140e8d5c28f1f057db1102cf78263e48f86d61,1.3457271678959501e-05,1.4206518752745596e-05,1.7268430739833902e-05,2.4416210853023983e-05,2.455429403759572e-05,4.518220830505015e-05
42,c18ab2c3975c8fa8b59724fe6855c528d72fef8c,1.3170449290941925e-05,1.4079106540929655e-05,1.7025807812842687e-05,2.4197165197067145e-05,2.4123270250169085e-05,4.480812189405908e-05
43,3d2205dfd1d28fb8106e60223cf7207a3c05dbab,1.3243679907598794e-05,1.4161812261223917e-05,1.6941344507900563e-05,2.4775202179183286e-05,2.4304214925020594e-05,4.5189195831577914e-05
44,c3fd79150bc183e8852f1330ea6e8cb4ca7ce7bc,1.325449999547765e-05,1.4004545885248437e-05,1.7252925896632825e-05,2.4222719676348273e-05,2.440158586187349e-05,4.516932439258175e-05
