,hash,"array_size-200,percent_nans-0","array_size-200,percent_nans-0.1","array_size-200,percent_nans-2.0","array_size-200,percent_nans-50.0","array_size-200,percent_nans-90.0","array_size-200000,percent_nans-0","array_size-200000,percent_nans-0.1","array_size-200000,percent_nans-2.0","array_size-200000,percent_nans-50.0","array_size-200000,percent_nans-90.0"
0,03164d2d819f9b38e1c684d6d9e128f11867dc3c,2.1170102591131e-05,2.0941134311678802e-05,2.1309912481511932e-05,2.2146536154222237e-05,2.1631672234076452e-05,0.0005197028505790513,0.0005221445244387724,0.0006317818433672073,0.0018383940817633024,0.0011981652221745914
1,60df9b1eb6375e3decf12ba7506404c46af0469a,2.1317917322535883e-05,2.1465630977348026e-05,2.1212646619876824e-05,2.2314822241939144e-05,2.1846970450673408e-05,0.0005391262361387674,0.0005428735519097628,0.0006577130307050538,0.0018477316698408686,0.0012052171110149678
2,772c80b1ce1db7e30497fcf555ac9af56b0d7fce,2.0375977314758642e-05,2.049705483365297e-05,2.065592626217992e-05,2.1746960348862308e-05,2.123277827439519e-05,0.0005166430746612605,0.000522063300741138,0.0006297763748079888,0.001843377581584112,0.001206599389358113
3,66d357ae3aedcd324a1c607e037adc65d3ae1c02,2.0394945481031197e-05,2.042304666247219e-05,2.0515632942168183e-05,2.1610161031283453e-05,2.1121365877412097e-05,0.0005156903243914712,0.0005205173001741059,0.0006318089999695076,0.001835935666652707,0.0012013418325093677
4,cec39effb1739ae0a7690e56d58d3e9432569d5f,2.0918060675511272e-05,2.0858188176550293e-05,2.104657713175584e-05,2.19743148849104e-05,2.1373720699102705e-05,0.0005164490758033935,0.0005224026994255837,0.0006308863748927251,0.0018425037512012445,0.0012342494430615464
5,8ae543cb13769a0afa6e176898824db7fd992d27,2.041554501747634e-05,2.0487081927506922e-05,2.0876092751453458e-05,2.1763708932196786e-05,2.1141333006363735e-05,0.00051597639976535,0.0005217520752921701,0.0006339354686133447,0.00185227616505775,0.0012340127771797902
6,c890b10a8ade5df19f97b02a2b10a75f9f6075e9,2.0959269447235845e-05,2.0686809905835483e-05,2.108639527114158e-05,2.2329068087856285e-05,2.1414483308035413e-05,0.0005265980787379177,0.0005320451317330528,0.0006538430316140875,0.001887083917002504,0.0012796800619980786
7,c9a83043c0669fd17306843eb21abd236b675537,2.0179318691575402e-05,2.0009080713298618e-05,2.0329990520346627e-05,2.1809435910379964e-05,2.0867897858272457e-05,0.0005153773752681445,0.0005217777499638033,0.0006313095627774601,0.0018444543335742007,0.0012418665008024415
8,4d87d909bab7a7dd4bb570444cf35d98d551668f,2.086326320115301e-05,2.065233046548739e-05,2.0920859682001536e-05,2.1870384837096237e-05,2.128039920649597e-05,0.0005164192501979414,0.0005229884470616909,0.0006312710011115996,0.0018443144993701328,0.0012398748884960595
9,a280f5e5d725de732a906b67172114b263ac3bfa,1.9722097238040155e-05,1.979709964574112e-05,1.989938348100239e-05,2.070804016746235e-05,2.012000468637612e-05,0.0005157125502591953,0.0005271655994874891,0.0006318776568150497,0.0018582092501067866,0.0012327507219096231
10,c303c9b77afbc7fe6f4049683c3ccaabdebe7be3,2.1648047859730952e-05,2.133806286302235e-05,2.1557268905509043e-05,2.2674656751495025e-05,2.2083107154574054e-05,0.0005164705751667497,0.0005211509247601497,0.000631786687335989,0.0018423748333589174,0.001197597222118121
11,fdfc4807cbe2de71f74053c45ae0de383332c4e1,2.2166978398725052e-05,2.2303395112217717e-05,2.21608438866441e-05,2.303641918717466e-05,2.273701038707741e-05,0.0005204669247177661,0.0005247364500974072,0.0006353056560328696,0.0018424494167751013,0.0012417241660942738
12,537d35c2cf49cae0a496c37564fa282ec80e3695,2.3391659772681557e-05,2.354818996647983e-05,2.3445995616613475e-05,2.4144344119055037e-05,2.3688992295429562e-05,0.00051997732516611,0.0005244512249191757,0.0006381110629263276,0.00184028741690175,0.00120068294442414
